"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 31 17:35:49 GMT 2024","Thu Oct 31 17:35:49 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Oct 31 17:36:05 GMT 2024","Thu Oct 31 17:36:08 GMT 2024","2595","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Oct 31 17:35:00 GMT 2024","Thu Oct 31 17:35:03 GMT 2024","2823","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"skipped","Thu Oct 31 17:35:17 GMT 2024","Thu Oct 31 17:35:17 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Oct 31 17:36:10 GMT 2024","Thu Oct 31 17:36:16 GMT 2024","5106","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Oct 31 17:35:29 GMT 2024","Thu Oct 31 17:35:43 GMT 2024","14241","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Oct 31 17:36:00 GMT 2024","Thu Oct 31 17:36:03 GMT 2024","2484","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Oct 31 17:34:57 GMT 2024","Thu Oct 31 17:35:00 GMT 2024","2781","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 17:35:03 GMT 2024","Thu Oct 31 17:35:06 GMT 2024","2977","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 17:36:03 GMT 2024","Thu Oct 31 17:36:05 GMT 2024","2581","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Oct 31 17:35:23 GMT 2024","Thu Oct 31 17:35:29 GMT 2024","5437","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Oct 31 17:35:54 GMT 2024","Thu Oct 31 17:35:57 GMT 2024","3036","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Oct 31 17:35:49 GMT 2024","Thu Oct 31 17:35:52 GMT 2024","2799","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Oct 31 17:34:54 GMT 2024","Thu Oct 31 17:34:57 GMT 2024","3449","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Oct 31 17:36:16 GMT 2024","Thu Oct 31 17:36:20 GMT 2024","4374","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"skipped","Thu Oct 31 17:35:17 GMT 2024","Thu Oct 31 17:35:17 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Thu Oct 31 17:36:08 GMT 2024","Thu Oct 31 17:36:10 GMT 2024","2661","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Oct 31 17:35:52 GMT 2024","Thu Oct 31 17:35:54 GMT 2024","2443","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Oct 31 17:35:06 GMT 2024","Thu Oct 31 17:35:11 GMT 2024","5226","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Oct 31 17:35:17 GMT 2024","Thu Oct 31 17:35:23 GMT 2024","5841","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Oct 31 17:35:44 GMT 2024","Thu Oct 31 17:35:49 GMT 2024","4905","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Thu Oct 31 17:35:11 GMT 2024","Thu Oct 31 17:35:17 GMT 2024","5913","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Oct 31 17:35:57 GMT 2024","Thu Oct 31 17:36:00 GMT 2024","2810","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
