"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 23:34:38 GMT 2024","Wed Nov 13 23:34:38 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Nov 13 23:34:33 GMT 2024","Wed Nov 13 23:34:38 GMT 2024","5192","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Wed Nov 13 23:35:01 GMT 2024","Wed Nov 13 23:35:06 GMT 2024","4774","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Nov 13 23:31:13 GMT 2024","Wed Nov 13 23:31:20 GMT 2024","7171","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"skipped","Wed Nov 13 23:29:43 GMT 2024","Wed Nov 13 23:29:43 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Wed Nov 13 23:29:27 GMT 2024","Wed Nov 13 23:29:30 GMT 2024","2959","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 23:33:36 GMT 2024","Wed Nov 13 23:33:43 GMT 2024","7298","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Wed Nov 13 23:34:38 GMT 2024","Wed Nov 13 23:34:45 GMT 2024","7226","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Wed Nov 13 23:30:15 GMT 2024","Wed Nov 13 23:30:20 GMT 2024","5022","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:33:53 GMT 2024","Wed Nov 13 23:34:02 GMT 2024","8812","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Wed Nov 13 23:29:32 GMT 2024","Wed Nov 13 23:29:37 GMT 2024","4895","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Nov 13 23:30:37 GMT 2024","Wed Nov 13 23:30:42 GMT 2024","4833","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Wed Nov 13 23:29:48 GMT 2024","Wed Nov 13 23:29:54 GMT 2024","5395","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Wed Nov 13 23:34:45 GMT 2024","Wed Nov 13 23:34:51 GMT 2024","5358","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Nov 13 23:29:37 GMT 2024","Wed Nov 13 23:29:43 GMT 2024","6079","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
