"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 22:11:22 GMT 2024","Mon Oct 28 22:11:27 GMT 2024","4455","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"skipped","Mon Oct 28 22:11:31 GMT 2024","Mon Oct 28 22:11:31 GMT 2024","1","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Mon Oct 28 22:11:27 GMT 2024","Mon Oct 28 22:11:31 GMT 2024","3992","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Mon Oct 28 22:11:20 GMT 2024","Mon Oct 28 22:11:22 GMT 2024","2209","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"skipped","Mon Oct 28 22:11:39 GMT 2024","Mon Oct 28 22:11:39 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Mon Oct 28 22:11:35 GMT 2024","Mon Oct 28 22:11:39 GMT 2024","4242","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Mon Oct 28 22:11:12 GMT 2024","Mon Oct 28 22:11:15 GMT 2024","2893","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Oct 28 22:11:15 GMT 2024","Mon Oct 28 22:11:17 GMT 2024","2535","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Mon Oct 28 22:11:31 GMT 2024","Mon Oct 28 22:11:35 GMT 2024","4091","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Mon Oct 28 22:11:17 GMT 2024","Mon Oct 28 22:11:20 GMT 2024","2585","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"skipped","Mon Oct 28 22:11:31 GMT 2024","Mon Oct 28 22:11:31 GMT 2024","0","chromium","","DNS Records","","","TC_04_02 | Verify search by hosted zone name.",""
