"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:20:42 GMT 2024","Fri Dec 13 19:20:43 GMT 2024","312","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants",""
"failed","Fri Dec 13 19:20:22 GMT 2024","Fri Dec 13 19:20:23 GMT 2024","300","webkit","","Report Abuse submission for each type of report","","","TC_09_07_07| Verify unauthorized user can submit the ""Report Abuse"" form for Pharmacy Complaint",""
"failed","Fri Dec 13 19:20:32 GMT 2024","Fri Dec 13 19:20:33 GMT 2024","317","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois",""
"failed","Fri Dec 13 19:12:22 GMT 2024","Fri Dec 13 19:12:23 GMT 2024","333","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields",""
"failed","Fri Dec 13 19:11:34 GMT 2024","Fri Dec 13 19:11:34 GMT 2024","303","webkit","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.",""
"failed","Fri Dec 13 19:19:23 GMT 2024","Fri Dec 13 19:19:23 GMT 2024","283","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type",""
"failed","Fri Dec 13 19:12:54 GMT 2024","Fri Dec 13 19:12:54 GMT 2024","302","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".",""
"failed","Fri Dec 13 19:13:04 GMT 2024","Fri Dec 13 19:13:05 GMT 2024","289","webkit","","Hosted zones","","","TC_04_03_01| Verify user can create hosted zone",""
"failed","Fri Dec 13 19:19:28 GMT 2024","Fri Dec 13 19:19:28 GMT 2024","312","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type",""
"failed","Fri Dec 13 19:16:44 GMT 2024","Fri Dec 13 19:16:44 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"failed","Fri Dec 13 19:15:20 GMT 2024","Fri Dec 13 19:15:20 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality",""
"failed","Fri Dec 13 19:20:07 GMT 2024","Fri Dec 13 19:20:08 GMT 2024","304","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity",""
"failed","Fri Dec 13 19:18:38 GMT 2024","Fri Dec 13 19:18:39 GMT 2024","298","webkit","","Reset Password","","","TC_09_05_03 | Verify password recovery process",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains",""
"failed","Fri Dec 13 19:13:01 GMT 2024","Fri Dec 13 19:13:01 GMT 2024","310","webkit","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone",""
"failed","Fri Dec 13 19:17:58 GMT 2024","Fri Dec 13 19:17:59 GMT 2024","298","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:16:09 GMT 2024","Fri Dec 13 19:16:09 GMT 2024","313","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates",""
"failed","Fri Dec 13 19:19:43 GMT 2024","Fri Dec 13 19:19:43 GMT 2024","312","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type",""
"failed","Fri Dec 13 19:16:04 GMT 2024","Fri Dec 13 19:16:05 GMT 2024","307","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page",""
"failed","Fri Dec 13 19:11:01 GMT 2024","Fri Dec 13 19:11:01 GMT 2024","300","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @",""
"failed","Fri Dec 13 19:19:08 GMT 2024","Fri Dec 13 19:19:08 GMT 2024","284","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type",""
"failed","Fri Dec 13 19:13:14 GMT 2024","Fri Dec 13 19:13:15 GMT 2024","296","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS",""
"failed","Fri Dec 13 19:10:56 GMT 2024","Fri Dec 13 19:10:56 GMT 2024","317","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email",""
