"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:17:48 GMT 2024","Fri Dec 13 19:17:49 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:14:22 GMT 2024","Fri Dec 13 19:14:22 GMT 2024","297","webkit","","My profile","","","TC_08_05 | Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section",""
"failed","Fri Dec 13 19:17:23 GMT 2024","Fri Dec 13 19:17:24 GMT 2024","294","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:18:03 GMT 2024","Fri Dec 13 19:18:03 GMT 2024","311","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:15:40 GMT 2024","Fri Dec 13 19:15:40 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons",""
"failed","Fri Dec 13 19:12:12 GMT 2024","Fri Dec 13 19:12:12 GMT 2024","303","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"failed","Fri Dec 13 19:18:43 GMT 2024","Fri Dec 13 19:18:44 GMT 2024","293","webkit","","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type",""
"failed","Fri Dec 13 19:11:16 GMT 2024","Fri Dec 13 19:11:16 GMT 2024","296","webkit","","Registration","","","TC_01_01_01 | Verify Registration form elements",""
"failed","Fri Dec 13 19:12:19 GMT 2024","Fri Dec 13 19:12:19 GMT 2024","318","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"failed","Fri Dec 13 19:19:33 GMT 2024","Fri Dec 13 19:19:33 GMT 2024","303","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"failed","Fri Dec 13 19:11:54 GMT 2024","Fri Dec 13 19:11:55 GMT 2024","315","webkit","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"failed","Fri Dec 13 19:20:27 GMT 2024","Fri Dec 13 19:20:28 GMT 2024","309","webkit","","Report Abuse submission for each type of report","","","TC_09_07_08| Verify unauthorized user can submit the ""Report Abuse"" form for CSAM (Child Abuse)",""
"failed","Fri Dec 13 19:13:41 GMT 2024","Fri Dec 13 19:13:42 GMT 2024","296","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article",""
"failed","Fri Dec 13 19:14:50 GMT 2024","Fri Dec 13 19:14:51 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page",""
"failed","Fri Dec 13 19:19:18 GMT 2024","Fri Dec 13 19:19:18 GMT 2024","308","webkit","","Contact Us","","","TC_09_06_08 | Verify unauthorized users can submit the ""Contact Us"" form for ""Affiliate"" Type",""
"failed","Fri Dec 13 19:15:45 GMT 2024","Fri Dec 13 19:15:45 GMT 2024","309","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header",""
"failed","Fri Dec 13 19:11:44 GMT 2024","Fri Dec 13 19:11:44 GMT 2024","311","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page",""
"failed","Fri Dec 13 19:11:11 GMT 2024","Fri Dec 13 19:11:11 GMT 2024","314","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters",""
"failed","Fri Dec 13 19:17:43 GMT 2024","Fri Dec 13 19:17:44 GMT 2024","317","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:19:52 GMT 2024","Fri Dec 13 19:19:53 GMT 2024","305","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints",""
"failed","Fri Dec 13 19:14:55 GMT 2024","Fri Dec 13 19:14:56 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"failed","Fri Dec 13 19:14:40 GMT 2024","Fri Dec 13 19:14:41 GMT 2024","307","webkit","","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page",""
"failed","Fri Dec 13 19:17:04 GMT 2024","Fri Dec 13 19:17:04 GMT 2024","293","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
