"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 19:51:09 GMT 2024","Sun Nov 03 19:51:12 GMT 2024","2807","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Sun Nov 03 19:51:06 GMT 2024","Sun Nov 03 19:51:09 GMT 2024","2710","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Sun Nov 03 19:50:25 GMT 2024","Sun Nov 03 19:50:34 GMT 2024","8936","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Sun Nov 03 19:48:27 GMT 2024","Sun Nov 03 19:48:35 GMT 2024","7736","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Sun Nov 03 19:51:04 GMT 2024","Sun Nov 03 19:51:06 GMT 2024","2676","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Sun Nov 03 19:49:49 GMT 2024","Sun Nov 03 19:49:57 GMT 2024","8391","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Sun Nov 03 19:49:41 GMT 2024","Sun Nov 03 19:49:49 GMT 2024","7689","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Sun Nov 03 19:50:06 GMT 2024","Sun Nov 03 19:50:11 GMT 2024","5056","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"skipped","Sun Nov 03 19:50:40 GMT 2024","Sun Nov 03 19:50:40 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Sun Nov 03 19:48:54 GMT 2024","Sun Nov 03 19:49:01 GMT 2024","7145","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Sun Nov 03 19:49:01 GMT 2024","Sun Nov 03 19:49:09 GMT 2024","7943","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Sun Nov 03 19:48:38 GMT 2024","Sun Nov 03 19:48:41 GMT 2024","2773","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Sun Nov 03 19:51:15 GMT 2024","Sun Nov 03 19:51:19 GMT 2024","4451","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Sun Nov 03 19:50:35 GMT 2024","Sun Nov 03 19:50:40 GMT 2024","4640","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Sun Nov 03 19:49:34 GMT 2024","Sun Nov 03 19:49:41 GMT 2024","7682","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
