"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 04:19:11 GMT 2024","Thu Nov 07 04:19:15 GMT 2024","4782","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:20:14 GMT 2024","Thu Nov 07 04:20:20 GMT 2024","5890","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Nov 07 04:25:45 GMT 2024","Thu Nov 07 04:25:47 GMT 2024","2584","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Nov 07 04:19:02 GMT 2024","Thu Nov 07 04:19:06 GMT 2024","4719","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:21:22 GMT 2024","Thu Nov 07 04:21:29 GMT 2024","7030","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 04:19:31 GMT 2024","Thu Nov 07 04:19:35 GMT 2024","3731","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:19:28 GMT 2024","Thu Nov 07 04:19:31 GMT 2024","3034","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:25:47 GMT 2024","Thu Nov 07 04:25:50 GMT 2024","2475","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Nov 07 04:20:34 GMT 2024","Thu Nov 07 04:20:41 GMT 2024","7312","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:19:24 GMT 2024","Thu Nov 07 04:19:28 GMT 2024","3803","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:25:07 GMT 2024","Thu Nov 07 04:25:17 GMT 2024","10254","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Thu Nov 07 04:21:02 GMT 2024","Thu Nov 07 04:21:09 GMT 2024","6869","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:24:43 GMT 2024","Thu Nov 07 04:24:51 GMT 2024","7253","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Thu Nov 07 04:20:20 GMT 2024","Thu Nov 07 04:20:27 GMT 2024","7335","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:19:06 GMT 2024","Thu Nov 07 04:19:11 GMT 2024","4227","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"skipped","Thu Nov 07 04:25:40 GMT 2024","Thu Nov 07 04:25:40 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Thu Nov 07 04:19:56 GMT 2024","Thu Nov 07 04:20:01 GMT 2024","4677","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Nov 07 04:19:20 GMT 2024","Thu Nov 07 04:19:24 GMT 2024","4198","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:20:55 GMT 2024","Thu Nov 07 04:21:02 GMT 2024","6997","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
