"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:20:14 GMT 2024","Thu Nov 07 17:20:17 GMT 2024","2423","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Nov 07 17:17:45 GMT 2024","Thu Nov 07 17:17:53 GMT 2024","7655","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:19:30 GMT 2024","Thu Nov 07 17:19:37 GMT 2024","6126","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Thu Nov 07 17:19:43 GMT 2024","Thu Nov 07 17:19:47 GMT 2024","4241","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Thu Nov 07 17:19:47 GMT 2024","Thu Nov 07 17:19:55 GMT 2024","7528","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Thu Nov 07 17:15:26 GMT 2024","Thu Nov 07 17:15:29 GMT 2024","2661","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 07 17:15:59 GMT 2024","Thu Nov 07 17:16:04 GMT 2024","4790","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:20:17 GMT 2024","Thu Nov 07 17:20:19 GMT 2024","2462","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Nov 07 17:17:09 GMT 2024","Thu Nov 07 17:17:15 GMT 2024","6439","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"skipped","Thu Nov 07 17:20:04 GMT 2024","Thu Nov 07 17:20:04 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Thu Nov 07 17:20:04 GMT 2024","Thu Nov 07 17:20:07 GMT 2024","2522","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Nov 07 17:18:24 GMT 2024","Thu Nov 07 17:18:32 GMT 2024","8255","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:20:12 GMT 2024","Thu Nov 07 17:20:14 GMT 2024","2558","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Nov 07 17:18:09 GMT 2024","Thu Nov 07 17:18:16 GMT 2024","7383","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:18:40 GMT 2024","Thu Nov 07 17:18:47 GMT 2024","7091","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:18:32 GMT 2024","Thu Nov 07 17:18:40 GMT 2024","7592","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:15:29 GMT 2024","Thu Nov 07 17:15:31 GMT 2024","2651","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 07 17:16:51 GMT 2024","Thu Nov 07 17:16:56 GMT 2024","5378","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Nov 07 17:19:22 GMT 2024","Thu Nov 07 17:19:30 GMT 2024","7324","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Thu Nov 07 17:20:22 GMT 2024","Thu Nov 07 17:20:25 GMT 2024","2508","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Nov 07 17:19:55 GMT 2024","Thu Nov 07 17:20:00 GMT 2024","4889","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Thu Nov 07 17:19:02 GMT 2024","Thu Nov 07 17:19:15 GMT 2024","13034","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Nov 07 17:19:16 GMT 2024","Thu Nov 07 17:19:22 GMT 2024","6366","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Thu Nov 07 17:17:53 GMT 2024","Thu Nov 07 17:18:01 GMT 2024","8059","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:16:40 GMT 2024","Thu Nov 07 17:16:45 GMT 2024","5844","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Thu Nov 07 17:15:38 GMT 2024","Thu Nov 07 17:15:44 GMT 2024","6272","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"skipped","Thu Nov 07 17:15:44 GMT 2024","Thu Nov 07 17:15:44 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Nov 07 17:20:19 GMT 2024","Thu Nov 07 17:20:22 GMT 2024","2759","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Nov 07 17:18:54 GMT 2024","Thu Nov 07 17:19:02 GMT 2024","7410","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:17:23 GMT 2024","Thu Nov 07 17:17:30 GMT 2024","7706","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:16:30 GMT 2024","Thu Nov 07 17:16:35 GMT 2024","4643","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 07 17:15:49 GMT 2024","Thu Nov 07 17:15:54 GMT 2024","5047","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:16:46 GMT 2024","Thu Nov 07 17:16:51 GMT 2024","5270","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Nov 07 17:17:30 GMT 2024","Thu Nov 07 17:17:37 GMT 2024","7174","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"skipped","Thu Nov 07 17:19:37 GMT 2024","Thu Nov 07 17:19:37 GMT 2024","0","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters",""
"passed","Thu Nov 07 17:20:07 GMT 2024","Thu Nov 07 17:20:09 GMT 2024","2447","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
