"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","0","16","0"
"Domains","","","0","1","25","0","0"
"Registration","","","1","1","6","0","0"
"Help center","","","1","0","5","0","0"
"My profile","","","0","0","1","0","0"
"Authorization","","","0","0","2","0","0"
"Blog","","","0","0","5","0","0"
