"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 20:01:06 GMT 2024","Wed Oct 30 20:01:11 GMT 2024","5125","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"skipped","Wed Oct 30 20:02:52 GMT 2024","Wed Oct 30 20:02:52 GMT 2024","1","chromium","","DNS Records","","","TC_04_02 | Verify search by hosted zone name.",""
"passed","Wed Oct 30 20:01:11 GMT 2024","Wed Oct 30 20:01:16 GMT 2024","5169","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Oct 30 20:00:57 GMT 2024","Wed Oct 30 20:01:01 GMT 2024","3347","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"skipped","Wed Oct 30 20:03:07 GMT 2024","Wed Oct 30 20:03:07 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Oct 30 20:03:01 GMT 2024","Wed Oct 30 20:03:07 GMT 2024","5373","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Oct 30 20:03:07 GMT 2024","Wed Oct 30 20:03:10 GMT 2024","3288","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Oct 30 20:01:01 GMT 2024","Wed Oct 30 20:01:03 GMT 2024","2703","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 20:00:54 GMT 2024","Wed Oct 30 20:00:57 GMT 2024","2977","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"skipped","Wed Oct 30 20:02:52 GMT 2024","Wed Oct 30 20:02:52 GMT 2024","1","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Wed Oct 30 20:03:10 GMT 2024","Wed Oct 30 20:03:13 GMT 2024","2756","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Oct 30 20:02:52 GMT 2024","Wed Oct 30 20:03:01 GMT 2024","9213","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"broken","Wed Oct 30 20:02:20 GMT 2024","Wed Oct 30 20:02:51 GMT 2024","31184","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA","To verify user can delete account without 2FA"
"passed","Wed Oct 30 20:01:03 GMT 2024","Wed Oct 30 20:01:06 GMT 2024","2746","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
