"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 11:23:45 GMT 2024","Wed Oct 30 11:23:50 GMT 2024","4994","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"skipped","Wed Oct 30 11:23:54 GMT 2024","Wed Oct 30 11:23:54 GMT 2024","0","chromium","","DNS Records","","","TC_04_02 | Verify search by hosted zone name.",""
"passed","Wed Oct 30 11:23:43 GMT 2024","Wed Oct 30 11:23:45 GMT 2024","2451","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 11:23:59 GMT 2024","Wed Oct 30 11:24:04 GMT 2024","4569","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Oct 30 11:23:50 GMT 2024","Wed Oct 30 11:23:54 GMT 2024","4218","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Oct 30 11:23:40 GMT 2024","Wed Oct 30 11:23:43 GMT 2024","2814","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 11:24:20 GMT 2024","Wed Oct 30 11:24:22 GMT 2024","2512","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Oct 30 11:23:33 GMT 2024","Wed Oct 30 11:23:37 GMT 2024","3123","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Oct 30 11:24:10 GMT 2024","Wed Oct 30 11:24:13 GMT 2024","2134","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Oct 30 11:23:37 GMT 2024","Wed Oct 30 11:23:40 GMT 2024","2381","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"skipped","Wed Oct 30 11:23:54 GMT 2024","Wed Oct 30 11:23:54 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Wed Oct 30 11:24:17 GMT 2024","Wed Oct 30 11:24:20 GMT 2024","2310","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Oct 30 11:24:08 GMT 2024","Wed Oct 30 11:24:10 GMT 2024","2470","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Oct 30 11:23:54 GMT 2024","Wed Oct 30 11:23:59 GMT 2024","4763","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Oct 30 11:24:22 GMT 2024","Wed Oct 30 11:24:25 GMT 2024","2282","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Oct 30 11:24:15 GMT 2024","Wed Oct 30 11:24:17 GMT 2024","2475","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"skipped","Wed Oct 30 11:24:08 GMT 2024","Wed Oct 30 11:24:08 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Oct 30 11:24:25 GMT 2024","Wed Oct 30 11:24:27 GMT 2024","2281","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Oct 30 11:24:13 GMT 2024","Wed Oct 30 11:24:15 GMT 2024","2393","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Oct 30 11:24:04 GMT 2024","Wed Oct 30 11:24:08 GMT 2024","4343","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
