"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 11 16:33:07 GMT 2024","Mon Nov 11 16:33:14 GMT 2024","6504","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Mon Nov 11 16:34:36 GMT 2024","Mon Nov 11 16:34:42 GMT 2024","5620","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Mon Nov 11 16:28:48 GMT 2024","Mon Nov 11 16:28:54 GMT 2024","6014","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Mon Nov 11 16:28:54 GMT 2024","Mon Nov 11 16:29:00 GMT 2024","6264","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Mon Nov 11 16:28:12 GMT 2024","Mon Nov 11 16:28:16 GMT 2024","4323","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Mon Nov 11 16:26:50 GMT 2024","Mon Nov 11 16:26:52 GMT 2024","2446","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Mon Nov 11 16:32:22 GMT 2024","Mon Nov 11 16:32:36 GMT 2024","13994","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Mon Nov 11 16:28:31 GMT 2024","Mon Nov 11 16:28:36 GMT 2024","5139","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Mon Nov 11 16:29:29 GMT 2024","Mon Nov 11 16:29:37 GMT 2024","7694","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Mon Nov 11 16:28:04 GMT 2024","Mon Nov 11 16:28:07 GMT 2024","2940","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
