"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"My profile","Account settings","","0","1","7","0","0"
"Domains","","","0","1","25","0","0"
"Unauthorized_user","","","0","0","11","0","0"
"Registration","","","0","1","7","0","0"
"Blog","","","0","0","5","0","0"
"","","","0","0","0","20","0"
"Help center","","","1","0","5","0","0"
"Authorization","","","0","0","2","0","0"
"My profile","Billing","","0","0","2","0","0"
"My profile","","","0","0","1","0","0"
"My profile","Log out","","0","0","1","0","0"
