"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 17:35:34 GMT 2024","Tue Nov 05 17:35:42 GMT 2024","7927","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 17:34:37 GMT 2024","Tue Nov 05 17:34:44 GMT 2024","7129","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Tue Nov 05 17:37:56 GMT 2024","Tue Nov 05 17:37:59 GMT 2024","2806","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 17:33:19 GMT 2024","Tue Nov 05 17:33:21 GMT 2024","2611","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 17:38:10 GMT 2024","Tue Nov 05 17:38:15 GMT 2024","4422","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Nov 05 17:34:24 GMT 2024","Tue Nov 05 17:34:29 GMT 2024","4802","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:36:57 GMT 2024","Tue Nov 05 17:37:02 GMT 2024","4893","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Tue Nov 05 17:38:05 GMT 2024","Tue Nov 05 17:38:10 GMT 2024","5549","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 05 17:36:44 GMT 2024","Tue Nov 05 17:36:49 GMT 2024","4876","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Tue Nov 05 17:37:53 GMT 2024","Tue Nov 05 17:37:56 GMT 2024","2837","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 05 17:37:41 GMT 2024","Tue Nov 05 17:37:44 GMT 2024","2988","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 05 17:37:59 GMT 2024","Tue Nov 05 17:38:02 GMT 2024","2821","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 05 17:37:02 GMT 2024","Tue Nov 05 17:37:08 GMT 2024","5653","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Tue Nov 05 17:36:18 GMT 2024","Tue Nov 05 17:36:27 GMT 2024","8718","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Tue Nov 05 17:35:18 GMT 2024","Tue Nov 05 17:35:26 GMT 2024","8323","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 17:38:02 GMT 2024","Tue Nov 05 17:38:05 GMT 2024","2843","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 17:35:42 GMT 2024","Tue Nov 05 17:35:50 GMT 2024","8239","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Nov 05 17:35:50 GMT 2024","Tue Nov 05 17:35:57 GMT 2024","6542","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Nov 05 17:36:37 GMT 2024","Tue Nov 05 17:36:44 GMT 2024","7456","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 17:35:09 GMT 2024","Tue Nov 05 17:35:18 GMT 2024","9124","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Tue Nov 05 17:36:49 GMT 2024","Tue Nov 05 17:36:57 GMT 2024","8111","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Tue Nov 05 17:33:24 GMT 2024","Tue Nov 05 17:33:27 GMT 2024","2764","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 17:33:49 GMT 2024","Tue Nov 05 17:33:54 GMT 2024","5252","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:34:05 GMT 2024","Tue Nov 05 17:34:11 GMT 2024","5352","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"failed","Tue Nov 05 17:37:30 GMT 2024","Tue Nov 05 17:37:40 GMT 2024","10024","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Nov 05 17:35:00 GMT 2024","Tue Nov 05 17:35:09 GMT 2024","8291","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Tue Nov 05 17:37:50 GMT 2024","Tue Nov 05 17:37:53 GMT 2024","3049","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 05 17:33:44 GMT 2024","Tue Nov 05 17:33:49 GMT 2024","5437","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:33:14 GMT 2024","Tue Nov 05 17:33:18 GMT 2024","3815","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Tue Nov 05 17:36:27 GMT 2024","Tue Nov 05 17:36:36 GMT 2024","8831","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Tue Nov 05 17:33:38 GMT 2024","Tue Nov 05 17:33:44 GMT 2024","5757","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"skipped","Tue Nov 05 17:33:38 GMT 2024","Tue Nov 05 17:33:38 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Tue Nov 05 17:34:16 GMT 2024","Tue Nov 05 17:34:19 GMT 2024","3349","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:34:52 GMT 2024","Tue Nov 05 17:35:00 GMT 2024","8673","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"skipped","Tue Nov 05 17:36:49 GMT 2024","Tue Nov 05 17:36:49 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 05 17:33:32 GMT 2024","Tue Nov 05 17:33:38 GMT 2024","6031","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Tue Nov 05 17:37:47 GMT 2024","Tue Nov 05 17:37:50 GMT 2024","3309","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 17:35:26 GMT 2024","Tue Nov 05 17:35:34 GMT 2024","7803","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Tue Nov 05 17:34:11 GMT 2024","Tue Nov 05 17:34:16 GMT 2024","5246","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:34:44 GMT 2024","Tue Nov 05 17:34:52 GMT 2024","7294","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Tue Nov 05 17:33:27 GMT 2024","Tue Nov 05 17:33:32 GMT 2024","4899","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Nov 05 17:34:19 GMT 2024","Tue Nov 05 17:34:24 GMT 2024","5137","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:33:54 GMT 2024","Tue Nov 05 17:33:59 GMT 2024","4985","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:33:21 GMT 2024","Tue Nov 05 17:33:24 GMT 2024","2781","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 17:34:29 GMT 2024","Tue Nov 05 17:34:37 GMT 2024","7959","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 05 17:37:44 GMT 2024","Tue Nov 05 17:37:47 GMT 2024","2732","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Tue Nov 05 17:36:03 GMT 2024","Tue Nov 05 17:36:17 GMT 2024","13919","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Nov 05 17:33:59 GMT 2024","Tue Nov 05 17:34:05 GMT 2024","6077","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:35:57 GMT 2024","Tue Nov 05 17:36:03 GMT 2024","5918","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
