"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 01:02:03 GMT 2024","Wed Dec 18 01:02:11 GMT 2024","8090","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Dec 18 00:55:34 GMT 2024","Wed Dec 18 00:55:46 GMT 2024","12092","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Wed Dec 18 01:07:27 GMT 2024","Wed Dec 18 01:07:39 GMT 2024","12234","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Wed Dec 18 01:03:39 GMT 2024","Wed Dec 18 01:03:39 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"passed","Wed Dec 18 00:55:03 GMT 2024","Wed Dec 18 00:55:23 GMT 2024","20115","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Wed Dec 18 01:03:31 GMT 2024","Wed Dec 18 01:03:39 GMT 2024","7793","webkit","","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality","To verify Check email form elements and ""Back to Forgot password"" functionality."
"passed","Wed Dec 18 00:59:30 GMT 2024","Wed Dec 18 00:59:43 GMT 2024","13418","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"skipped","Wed Dec 18 00:52:34 GMT 2024","Wed Dec 18 00:52:34 GMT 2024","0","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
"passed","Wed Dec 18 01:05:32 GMT 2024","Wed Dec 18 01:05:40 GMT 2024","8199","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosting link in header"
"passed","Wed Dec 18 01:09:22 GMT 2024","Wed Dec 18 01:09:34 GMT 2024","11099","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 00:48:48 GMT 2024","Wed Dec 18 00:49:07 GMT 2024","18397","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Wed Dec 18 00:46:04 GMT 2024","Wed Dec 18 00:46:15 GMT 2024","10795","webkit","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type",""
"passed","Wed Dec 18 00:53:08 GMT 2024","Wed Dec 18 00:53:20 GMT 2024","11681","webkit","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Wed Dec 18 01:16:08 GMT 2024","Wed Dec 18 01:16:22 GMT 2024","14389","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 00:52:18 GMT 2024","Wed Dec 18 00:52:33 GMT 2024","15062","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Wed Dec 18 00:58:24 GMT 2024","Wed Dec 18 00:58:40 GMT 2024","15608","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Wed Dec 18 01:15:22 GMT 2024","Wed Dec 18 01:15:35 GMT 2024","13162","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 01:15:52 GMT 2024","Wed Dec 18 01:16:08 GMT 2024","16108","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 00:52:34 GMT 2024","Wed Dec 18 00:52:47 GMT 2024","13495","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
"passed","Wed Dec 18 00:56:47 GMT 2024","Wed Dec 18 00:57:03 GMT 2024","15855","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections","Verify user can navigate through the Knowledge Base sections by clicking on headings"
"passed","Wed Dec 18 01:02:50 GMT 2024","Wed Dec 18 01:02:56 GMT 2024","6215","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Dec 18 00:51:26 GMT 2024","Wed Dec 18 00:51:43 GMT 2024","17832","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 00:41:36 GMT 2024","Wed Dec 18 00:41:42 GMT 2024","5628","webkit","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type",""
"passed","Wed Dec 18 01:07:39 GMT 2024","Wed Dec 18 01:07:53 GMT 2024","14241","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
