"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 16:34:19 GMT 2024","Fri Dec 13 16:34:19 GMT 2024","304","webkit","","Contact Us","","","TC_09_06_02 | Verify unauthorized users can submit the ""Contact Us"" form for ""Payment, Sales & Billing Issues"" Type",""
"skipped","Fri Dec 13 16:27:09 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","1","webkit","","Delete Account","","","TC_02_04 | Account Deletion Without 2FA",""
"failed","Fri Dec 13 16:28:17 GMT 2024","Fri Dec 13 16:28:18 GMT 2024","342","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"failed","Fri Dec 13 16:35:28 GMT 2024","Fri Dec 13 16:35:28 GMT 2024","303","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam",""
"failed","Fri Dec 13 16:26:52 GMT 2024","Fri Dec 13 16:26:52 GMT 2024","298","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"skipped","Fri Dec 13 16:27:09 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","0","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"failed","Fri Dec 13 16:31:50 GMT 2024","Fri Dec 13 16:31:50 GMT 2024","315","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates",""
"failed","Fri Dec 13 16:33:09 GMT 2024","Fri Dec 13 16:33:10 GMT 2024","312","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 16:27:08 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","307","webkit","","Authorization","","","TC_02_01 | Verify login with invalid credentials.",""
"failed","Fri Dec 13 16:31:25 GMT 2024","Fri Dec 13 16:31:26 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header",""
"skipped","Fri Dec 13 16:27:09 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","0","webkit","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains",""
"failed","Fri Dec 13 16:31:01 GMT 2024","Fri Dec 13 16:31:01 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied",""
"skipped","Fri Dec 13 16:29:29 GMT 2024","Fri Dec 13 16:29:29 GMT 2024","1","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu",""
"failed","Fri Dec 13 16:36:17 GMT 2024","Fri Dec 13 16:36:18 GMT 2024","304","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order",""
"skipped","Fri Dec 13 16:30:36 GMT 2024","Fri Dec 13 16:30:36 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)",""
"failed","Fri Dec 13 16:32:20 GMT 2024","Fri Dec 13 16:32:20 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 16:27:09 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","0","webkit","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home",""
"failed","Fri Dec 13 16:31:06 GMT 2024","Fri Dec 13 16:31:06 GMT 2024","314","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search",""
"failed","Fri Dec 13 16:32:10 GMT 2024","Fri Dec 13 16:32:10 GMT 2024","311","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""c"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 16:27:09 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","0","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"failed","Fri Dec 13 16:27:22 GMT 2024","Fri Dec 13 16:27:23 GMT 2024","298","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.",""
"failed","Fri Dec 13 16:30:06 GMT 2024","Fri Dec 13 16:30:06 GMT 2024","301","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page",""
"failed","Fri Dec 13 16:27:33 GMT 2024","Fri Dec 13 16:27:33 GMT 2024","296","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"failed","Fri Dec 13 16:29:46 GMT 2024","Fri Dec 13 16:29:46 GMT 2024","297","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency",""
"skipped","Fri Dec 13 16:27:09 GMT 2024","Fri Dec 13 16:27:09 GMT 2024","0","webkit","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS",""
"failed","Fri Dec 13 16:32:30 GMT 2024","Fri Dec 13 16:32:30 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 16:30:26 GMT 2024","Fri Dec 13 16:30:26 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page",""
"failed","Fri Dec 13 16:28:28 GMT 2024","Fri Dec 13 16:28:28 GMT 2024","311","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name",""
"failed","Fri Dec 13 16:29:02 GMT 2024","Fri Dec 13 16:29:02 GMT 2024","305","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center",""
"failed","Fri Dec 13 16:30:31 GMT 2024","Fri Dec 13 16:30:31 GMT 2024","284","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page",""
"failed","Fri Dec 13 16:33:44 GMT 2024","Fri Dec 13 16:33:44 GMT 2024","297","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 16:28:04 GMT 2024","Fri Dec 13 16:28:04 GMT 2024","315","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields",""
"failed","Fri Dec 13 16:36:08 GMT 2024","Fri Dec 13 16:36:08 GMT 2024","302","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena",""
"failed","Fri Dec 13 16:26:42 GMT 2024","Fri Dec 13 16:26:42 GMT 2024","312","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters",""
"failed","Fri Dec 13 16:34:24 GMT 2024","Fri Dec 13 16:34:24 GMT 2024","300","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type",""
"failed","Fri Dec 13 16:36:12 GMT 2024","Fri Dec 13 16:36:13 GMT 2024","315","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants",""
"failed","Fri Dec 13 16:29:29 GMT 2024","Fri Dec 13 16:29:29 GMT 2024","307","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)",""
"failed","Fri Dec 13 16:31:40 GMT 2024","Fri Dec 13 16:31:40 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates",""
"failed","Fri Dec 13 16:27:43 GMT 2024","Fri Dec 13 16:27:43 GMT 2024","310","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"failed","Fri Dec 13 16:29:05 GMT 2024","Fri Dec 13 16:29:05 GMT 2024","305","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query",""
"failed","Fri Dec 13 16:34:33 GMT 2024","Fri Dec 13 16:34:34 GMT 2024","302","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"failed","Fri Dec 13 16:30:56 GMT 2024","Fri Dec 13 16:30:56 GMT 2024","290","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results",""
"failed","Fri Dec 13 16:35:08 GMT 2024","Fri Dec 13 16:35:08 GMT 2024","320","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type",""
"failed","Fri Dec 13 16:28:52 GMT 2024","Fri Dec 13 16:28:52 GMT 2024","289","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article",""
"failed","Fri Dec 13 16:30:41 GMT 2024","Fri Dec 13 16:30:41 GMT 2024","316","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)",""
"failed","Fri Dec 13 16:32:45 GMT 2024","Fri Dec 13 16:32:45 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 16:27:36 GMT 2024","Fri Dec 13 16:27:36 GMT 2024","323","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"failed","Fri Dec 13 16:31:15 GMT 2024","Fri Dec 13 16:31:16 GMT 2024","310","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header",""
"failed","Fri Dec 13 16:26:37 GMT 2024","Fri Dec 13 16:26:37 GMT 2024","298","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain",""
"failed","Fri Dec 13 16:29:08 GMT 2024","Fri Dec 13 16:29:09 GMT 2024","314","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections",""
"failed","Fri Dec 13 16:27:57 GMT 2024","Fri Dec 13 16:27:57 GMT 2024","304","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"failed","Fri Dec 13 16:29:12 GMT 2024","Fri Dec 13 16:29:12 GMT 2024","299","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article",""
"failed","Fri Dec 13 16:30:46 GMT 2024","Fri Dec 13 16:30:46 GMT 2024","292","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality",""
