"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:37:51 GMT 2024","Thu Nov 07 17:37:58 GMT 2024","7234","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:39:32 GMT 2024","Thu Nov 07 17:39:45 GMT 2024","12896","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Nov 07 17:36:03 GMT 2024","Thu Nov 07 17:36:06 GMT 2024","2566","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"skipped","Thu Nov 07 17:36:20 GMT 2024","Thu Nov 07 17:36:20 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Nov 07 17:39:25 GMT 2024","Thu Nov 07 17:39:32 GMT 2024","7441","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:37:07 GMT 2024","Thu Nov 07 17:37:11 GMT 2024","4490","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 07 17:40:45 GMT 2024","Thu Nov 07 17:40:47 GMT 2024","2450","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Nov 07 17:40:33 GMT 2024","Thu Nov 07 17:40:35 GMT 2024","2447","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Nov 07 17:36:41 GMT 2024","Thu Nov 07 17:36:46 GMT 2024","5130","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:36:00 GMT 2024","Thu Nov 07 17:36:03 GMT 2024","3344","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Nov 07 17:36:21 GMT 2024","Thu Nov 07 17:36:26 GMT 2024","4938","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:39:17 GMT 2024","Thu Nov 07 17:39:25 GMT 2024","7442","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:39:03 GMT 2024","Thu Nov 07 17:39:10 GMT 2024","6893","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:38:42 GMT 2024","Thu Nov 07 17:38:49 GMT 2024","7028","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:40:12 GMT 2024","Thu Nov 07 17:40:19 GMT 2024","6529","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Thu Nov 07 17:37:45 GMT 2024","Thu Nov 07 17:37:51 GMT 2024","5888","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Nov 07 17:39:47 GMT 2024","Thu Nov 07 17:39:54 GMT 2024","6908","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
