"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:53:46 GMT 2024","Thu Nov 07 17:53:53 GMT 2024","6689","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:55:41 GMT 2024","Thu Nov 07 17:55:46 GMT 2024","5052","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Nov 07 17:52:09 GMT 2024","Thu Nov 07 17:52:13 GMT 2024","3949","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Thu Nov 07 17:52:28 GMT 2024","Thu Nov 07 17:52:33 GMT 2024","5936","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Thu Nov 07 17:54:57 GMT 2024","Thu Nov 07 17:55:02 GMT 2024","5453","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Thu Nov 07 17:55:24 GMT 2024","Thu Nov 07 17:55:27 GMT 2024","2347","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Nov 07 17:54:40 GMT 2024","Thu Nov 07 17:54:46 GMT 2024","6568","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"skipped","Thu Nov 07 17:55:07 GMT 2024","Thu Nov 07 17:55:07 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Nov 07 17:55:12 GMT 2024","Thu Nov 07 17:55:17 GMT 2024","4990","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Thu Nov 07 17:51:37 GMT 2024","Thu Nov 07 17:51:41 GMT 2024","3964","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:51:46 GMT 2024","Thu Nov 07 17:51:50 GMT 2024","4912","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:52:59 GMT 2024","Thu Nov 07 17:53:06 GMT 2024","6851","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
