"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 18:05:39 GMT 2024","Thu Nov 21 18:05:44 GMT 2024","4681","chromium","03Navigation.spec.js","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 21 18:03:53 GMT 2024","Thu Nov 21 18:03:56 GMT 2024","2892","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 21 18:07:00 GMT 2024","Thu Nov 21 18:07:08 GMT 2024","8469","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 21 18:11:34 GMT 2024","Thu Nov 21 18:11:44 GMT 2024","9863","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled","To verify, that user user user receives notifications after Account deletion is canceled"
"passed","Thu Nov 21 18:11:48 GMT 2024","Thu Nov 21 18:11:51 GMT 2024","2688","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Nov 21 18:10:05 GMT 2024","Thu Nov 21 18:10:13 GMT 2024","7915","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Thu Nov 21 18:10:46 GMT 2024","Thu Nov 21 18:10:52 GMT 2024","6361","chromium","08MyProfile.spec.js","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Thu Nov 21 18:08:54 GMT 2024","Thu Nov 21 18:09:02 GMT 2024","7778","chromium","04Domains.spec.js","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Thu Nov 21 18:04:35 GMT 2024","Thu Nov 21 18:04:42 GMT 2024","6036","chromium","02Authorization.spec.js","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"skipped","Thu Nov 21 18:04:47 GMT 2024","Thu Nov 21 18:04:47 GMT 2024","0","chromium","02Authorization.spec.js","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Nov 21 18:03:56 GMT 2024","Thu Nov 21 18:03:58 GMT 2024","2175","chromium","01Registration.spec.js","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Thu Nov 21 18:12:13 GMT 2024","Thu Nov 21 18:12:16 GMT 2024","2997","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality.","To verify Forgot Password page elements and ""Back to Log in"" functionality."
"passed","Thu Nov 21 18:10:40 GMT 2024","Thu Nov 21 18:10:46 GMT 2024","6325","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Thu Nov 21 18:05:09 GMT 2024","Thu Nov 21 18:05:15 GMT 2024","5478","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 21 18:10:28 GMT 2024","Thu Nov 21 18:10:33 GMT 2024","5285","chromium","08MyProfile.spec.js","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Thu Nov 21 18:12:16 GMT 2024","Thu Nov 21 18:12:20 GMT 2024","4473","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality.","To verify Check email form elements and ""Back to Forgot password"" functionality."
"passed","Thu Nov 21 18:05:29 GMT 2024","Thu Nov 21 18:05:34 GMT 2024","4689","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Thu Nov 21 18:11:57 GMT 2024","Thu Nov 21 18:12:00 GMT 2024","2490","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Nov 21 18:05:04 GMT 2024","Thu Nov 21 18:05:09 GMT 2024","5474","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Nov 21 18:10:58 GMT 2024","Thu Nov 21 18:11:03 GMT 2024","4644","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
"skipped","Thu Nov 21 18:03:58 GMT 2024","Thu Nov 21 18:03:58 GMT 2024","1","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"passed","Thu Nov 21 18:07:49 GMT 2024","Thu Nov 21 18:07:58 GMT 2024","8455","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 21 18:03:40 GMT 2024","Thu Nov 21 18:03:45 GMT 2024","4854","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Nov 21 18:09:48 GMT 2024","Thu Nov 21 18:09:59 GMT 2024","11181","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Thu Nov 21 18:04:16 GMT 2024","Thu Nov 21 18:04:35 GMT 2024","18494","chromium","01Registration.spec.js","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"passed","Thu Nov 21 18:07:16 GMT 2024","Thu Nov 21 18:07:25 GMT 2024","8709","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Nov 21 18:11:51 GMT 2024","Thu Nov 21 18:11:54 GMT 2024","3236","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Nov 21 18:03:50 GMT 2024","Thu Nov 21 18:03:53 GMT 2024","2620","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 21 18:06:21 GMT 2024","Thu Nov 21 18:06:27 GMT 2024","6544","chromium","04Domains.spec.js","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Nov 21 18:08:21 GMT 2024","Thu Nov 21 18:08:29 GMT 2024","7772","chromium","04Domains.spec.js","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
