"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 04:17:17 GMT 2024","Wed Dec 18 04:17:33 GMT 2024","16524","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 04:04:55 GMT 2024","Wed Dec 18 04:05:00 GMT 2024","5684","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Dec 18 03:51:40 GMT 2024","Wed Dec 18 03:51:56 GMT 2024","16701","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Wed Dec 18 04:08:32 GMT 2024","Wed Dec 18 04:08:39 GMT 2024","6501","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"passed","Wed Dec 18 04:14:10 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","36740","webkit","","Reset Password","","","TC_09_05_03 | Verify password recovery process","To verify that user can reset the password."
"passed","Wed Dec 18 03:44:01 GMT 2024","Wed Dec 18 03:44:06 GMT 2024","4975","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Dec 18 03:44:16 GMT 2024","Wed Dec 18 03:44:21 GMT 2024","5069","webkit","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Wed Dec 18 04:09:28 GMT 2024","Wed Dec 18 04:09:36 GMT 2024","8412","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the EV subscription SSL Сertificates"
"passed","Wed Dec 18 04:12:52 GMT 2024","Wed Dec 18 04:13:02 GMT 2024","10142","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:12:01 GMT 2024","Wed Dec 18 04:12:12 GMT 2024","11642","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:08:55 GMT 2024","Wed Dec 18 04:09:02 GMT 2024","7622","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the My transfers button on Transfer Page"
"passed","Wed Dec 18 03:57:43 GMT 2024","Wed Dec 18 03:57:54 GMT 2024","10761","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Wed Dec 18 03:53:58 GMT 2024","Wed Dec 18 03:54:15 GMT 2024","16451","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 03:48:03 GMT 2024","Wed Dec 18 03:48:15 GMT 2024","11993","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"skipped","Wed Dec 18 04:05:49 GMT 2024","Wed Dec 18 04:05:49 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results",""
"passed","Wed Dec 18 04:04:16 GMT 2024","Wed Dec 18 04:04:23 GMT 2024","6912","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","1","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type",""
"passed","Wed Dec 18 04:08:39 GMT 2024","Wed Dec 18 04:08:46 GMT 2024","7020","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosting link in header"
"passed","Wed Dec 18 04:05:49 GMT 2024","Wed Dec 18 04:05:59 GMT 2024","9825","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"passed","Wed Dec 18 03:55:40 GMT 2024","Wed Dec 18 03:55:53 GMT 2024","13036","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type",""
"passed","Wed Dec 18 04:15:47 GMT 2024","Wed Dec 18 04:16:01 GMT 2024","14762","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 04:02:18 GMT 2024","Wed Dec 18 04:02:34 GMT 2024","15691","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Wed Dec 18 04:04:36 GMT 2024","Wed Dec 18 04:04:44 GMT 2024","8441","webkit","","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
