"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 16:09:59 GMT 2024","Tue Nov 05 16:10:04 GMT 2024","5079","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 16:07:31 GMT 2024","Tue Nov 05 16:07:33 GMT 2024","2588","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 16:07:49 GMT 2024","Tue Nov 05 16:07:54 GMT 2024","5234","chromium","","Navigation","","","TC_03_01_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 16:11:16 GMT 2024","Tue Nov 05 16:11:19 GMT 2024","2574","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 05 16:11:05 GMT 2024","Tue Nov 05 16:11:08 GMT 2024","3415","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 16:11:13 GMT 2024","Tue Nov 05 16:11:16 GMT 2024","2591","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 16:11:19 GMT 2024","Tue Nov 05 16:11:21 GMT 2024","2574","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 16:10:59 GMT 2024","Tue Nov 05 16:11:02 GMT 2024","3037","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"skipped","Tue Nov 05 16:07:49 GMT 2024","Tue Nov 05 16:07:49 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Tue Nov 05 16:08:00 GMT 2024","Tue Nov 05 16:08:05 GMT 2024","5390","chromium","","Navigation","","","TC_03_01_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
