"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 21:40:59 GMT 2024","Tue Nov 05 21:41:05 GMT 2024","5869","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 05 21:38:40 GMT 2024","Tue Nov 05 21:38:48 GMT 2024","8217","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Tue Nov 05 21:40:52 GMT 2024","Tue Nov 05 21:40:54 GMT 2024","2491","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 21:37:45 GMT 2024","Tue Nov 05 21:37:49 GMT 2024","4562","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:39:27 GMT 2024","Tue Nov 05 21:39:32 GMT 2024","5179","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 21:40:12 GMT 2024","Tue Nov 05 21:40:19 GMT 2024","7342","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 21:37:34 GMT 2024","Tue Nov 05 21:37:40 GMT 2024","5595","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:40:24 GMT 2024","Tue Nov 05 21:40:32 GMT 2024","7948","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Tue Nov 05 21:39:48 GMT 2024","Tue Nov 05 21:39:56 GMT 2024","7927","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Tue Nov 05 21:37:12 GMT 2024","Tue Nov 05 21:37:18 GMT 2024","5563","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:40:37 GMT 2024","Tue Nov 05 21:40:40 GMT 2024","2762","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
