"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 07:02:41 GMT 2024","Sat Nov 09 07:02:48 GMT 2024","7013","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Sat Nov 09 07:01:18 GMT 2024","Sat Nov 09 07:01:22 GMT 2024","4305","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Sat Nov 09 07:03:59 GMT 2024","Sat Nov 09 07:04:06 GMT 2024","7207","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 09 07:06:02 GMT 2024","Sat Nov 09 07:06:08 GMT 2024","6227","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Sat Nov 09 07:05:37 GMT 2024","Sat Nov 09 07:05:42 GMT 2024","4812","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Sat Nov 09 07:05:17 GMT 2024","Sat Nov 09 07:05:23 GMT 2024","5779","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Sat Nov 09 07:04:59 GMT 2024","Sat Nov 09 07:05:09 GMT 2024","9598","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Sat Nov 09 07:01:22 GMT 2024","Sat Nov 09 07:01:27 GMT 2024","4329","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Sat Nov 09 07:00:48 GMT 2024","Sat Nov 09 07:00:51 GMT 2024","3294","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Sat Nov 09 07:01:08 GMT 2024","Sat Nov 09 07:01:13 GMT 2024","4890","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
