"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 15 00:04:32 GMT 2024","Fri Nov 15 00:04:37 GMT 2024","5148","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Fri Nov 15 00:01:58 GMT 2024","Fri Nov 15 00:02:04 GMT 2024","6154","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"skipped","Fri Nov 15 00:00:36 GMT 2024","Fri Nov 15 00:00:36 GMT 2024","0","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"skipped","Fri Nov 15 00:00:36 GMT 2024","Fri Nov 15 00:00:36 GMT 2024","1","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"passed","Fri Nov 15 00:01:10 GMT 2024","Fri Nov 15 00:01:16 GMT 2024","5626","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Fri Nov 15 00:00:58 GMT 2024","Fri Nov 15 00:01:03 GMT 2024","5912","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"skipped","Fri Nov 15 00:04:56 GMT 2024","Fri Nov 15 00:04:56 GMT 2024","0","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page",""
"passed","Fri Nov 15 00:00:13 GMT 2024","Fri Nov 15 00:00:16 GMT 2024","2525","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 15 00:04:46 GMT 2024","Fri Nov 15 00:04:51 GMT 2024","4619","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"skipped","Fri Nov 15 00:04:56 GMT 2024","Fri Nov 15 00:04:56 GMT 2024","0","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page",""
"passed","Fri Nov 15 00:03:42 GMT 2024","Fri Nov 15 00:03:52 GMT 2024","10116","chromium","","Blog","","","TC_06_04 | Verify switching between Blog articles By category","Verify switching between Blog articles By category"
"skipped","Fri Nov 15 00:04:56 GMT 2024","Fri Nov 15 00:04:56 GMT 2024","1","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page",""
"skipped","Fri Nov 15 00:04:17 GMT 2024","Fri Nov 15 00:04:17 GMT 2024","1","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"passed","Fri Nov 15 00:04:17 GMT 2024","Fri Nov 15 00:04:23 GMT 2024","5653","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Fri Nov 15 00:04:37 GMT 2024","Fri Nov 15 00:04:41 GMT 2024","4165","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Fri Nov 15 00:00:27 GMT 2024","Fri Nov 15 00:00:32 GMT 2024","4674","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 15 00:00:53 GMT 2024","Fri Nov 15 00:00:58 GMT 2024","4239","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Fri Nov 15 00:01:23 GMT 2024","Fri Nov 15 00:01:30 GMT 2024","7038","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Fri Nov 15 00:04:23 GMT 2024","Fri Nov 15 00:04:27 GMT 2024","4494","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"skipped","Fri Nov 15 00:04:56 GMT 2024","Fri Nov 15 00:04:56 GMT 2024","0","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page",""
"passed","Fri Nov 15 00:04:41 GMT 2024","Fri Nov 15 00:04:46 GMT 2024","4940","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"skipped","Fri Nov 15 00:00:36 GMT 2024","Fri Nov 15 00:00:36 GMT 2024","0","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"passed","Fri Nov 15 00:00:21 GMT 2024","Fri Nov 15 00:00:23 GMT 2024","2360","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Fri Nov 15 00:02:10 GMT 2024","Fri Nov 15 00:02:17 GMT 2024","7224","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
