"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 31 02:58:03 GMT 2024","Thu Oct 31 02:58:03 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Oct 31 02:58:20 GMT 2024","Thu Oct 31 02:58:23 GMT 2024","2377","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Oct 31 02:57:47 GMT 2024","Thu Oct 31 02:57:51 GMT 2024","4063","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Oct 31 02:58:08 GMT 2024","Thu Oct 31 02:58:11 GMT 2024","2712","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Oct 31 02:58:23 GMT 2024","Thu Oct 31 02:58:27 GMT 2024","4117","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Oct 31 02:57:37 GMT 2024","Thu Oct 31 02:57:42 GMT 2024","4351","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Oct 31 02:58:11 GMT 2024","Thu Oct 31 02:58:13 GMT 2024","2436","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Oct 31 02:57:51 GMT 2024","Thu Oct 31 02:58:03 GMT 2024","11428","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Oct 31 02:58:03 GMT 2024","Thu Oct 31 02:58:06 GMT 2024","2451","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Oct 31 02:58:06 GMT 2024","Thu Oct 31 02:58:08 GMT 2024","2191","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Thu Oct 31 02:57:42 GMT 2024","Thu Oct 31 02:57:42 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Oct 31 02:57:25 GMT 2024","Thu Oct 31 02:57:27 GMT 2024","2438","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 02:58:16 GMT 2024","Thu Oct 31 02:58:18 GMT 2024","2368","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Oct 31 02:57:33 GMT 2024","Thu Oct 31 02:57:37 GMT 2024","4745","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Oct 31 02:57:30 GMT 2024","Thu Oct 31 02:57:33 GMT 2024","2456","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 02:57:27 GMT 2024","Thu Oct 31 02:57:30 GMT 2024","2971","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"skipped","Thu Oct 31 02:57:42 GMT 2024","Thu Oct 31 02:57:42 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Thu Oct 31 02:58:18 GMT 2024","Thu Oct 31 02:58:20 GMT 2024","2338","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Oct 31 02:57:42 GMT 2024","Thu Oct 31 02:57:47 GMT 2024","5246","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Oct 31 02:58:27 GMT 2024","Thu Oct 31 02:58:31 GMT 2024","4142","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Oct 31 02:57:17 GMT 2024","Thu Oct 31 02:57:25 GMT 2024","7534","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Oct 31 02:58:13 GMT 2024","Thu Oct 31 02:58:16 GMT 2024","2245","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
