"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 03:29:50 GMT 2024","Thu Nov 14 03:29:53 GMT 2024","2811","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:30:19 GMT 2024","Thu Nov 14 03:30:23 GMT 2024","4671","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Nov 14 03:34:02 GMT 2024","Thu Nov 14 03:34:05 GMT 2024","2129","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Nov 14 03:31:33 GMT 2024","Thu Nov 14 03:31:39 GMT 2024","6347","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 03:29:42 GMT 2024","Thu Nov 14 03:29:46 GMT 2024","4291","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:30:05 GMT 2024","Thu Nov 14 03:30:09 GMT 2024","4280","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Thu Nov 14 03:30:54 GMT 2024","Thu Nov 14 03:31:00 GMT 2024","6172","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:31:07 GMT 2024","Thu Nov 14 03:31:14 GMT 2024","6620","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:33:28 GMT 2024","Thu Nov 14 03:33:32 GMT 2024","3987","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Thu Nov 14 03:32:59 GMT 2024","Thu Nov 14 03:33:04 GMT 2024","4849","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Thu Nov 14 03:31:14 GMT 2024","Thu Nov 14 03:31:20 GMT 2024","6408","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:29:05 GMT 2024","Thu Nov 14 03:29:07 GMT 2024","2510","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
