"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 11 18:29:17 GMT 2024","Mon Nov 11 18:29:21 GMT 2024","4645","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:29:45 GMT 2024","Mon Nov 11 18:29:49 GMT 2024","3851","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:33:00 GMT 2024","Mon Nov 11 18:33:05 GMT 2024","5771","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Mon Nov 11 18:31:08 GMT 2024","Mon Nov 11 18:31:15 GMT 2024","6840","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"skipped","Mon Nov 11 18:33:23 GMT 2024","Mon Nov 11 18:33:23 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Mon Nov 11 18:33:14 GMT 2024","Mon Nov 11 18:33:18 GMT 2024","4536","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Mon Nov 11 18:29:49 GMT 2024","Mon Nov 11 18:29:53 GMT 2024","3984","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Mon Nov 11 18:28:45 GMT 2024","Mon Nov 11 18:28:48 GMT 2024","2988","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Nov 11 18:33:38 GMT 2024","Mon Nov 11 18:33:43 GMT 2024","5377","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Mon Nov 11 18:29:26 GMT 2024","Mon Nov 11 18:29:30 GMT 2024","4473","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:29:07 GMT 2024","Mon Nov 11 18:29:12 GMT 2024","4843","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:29:41 GMT 2024","Mon Nov 11 18:29:45 GMT 2024","3951","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:32:33 GMT 2024","Mon Nov 11 18:32:40 GMT 2024","6693","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Mon Nov 11 18:28:58 GMT 2024","Mon Nov 11 18:29:02 GMT 2024","4104","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
