"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 18 18:10:48 GMT 2024","Wed Dec 18 18:10:48 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"passed","Wed Dec 18 18:20:03 GMT 2024","Wed Dec 18 18:20:13 GMT 2024","10349","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 18:02:11 GMT 2024","Wed Dec 18 18:02:28 GMT 2024","16979","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Wed Dec 18 18:20:31 GMT 2024","Wed Dec 18 18:20:40 GMT 2024","9145","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 18:14:53 GMT 2024","Wed Dec 18 18:15:04 GMT 2024","11126","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 18:16:25 GMT 2024","Wed Dec 18 18:16:37 GMT 2024","12075","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Wed Dec 18 18:03:29 GMT 2024","Wed Dec 18 18:03:29 GMT 2024","0","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category",""
"passed","Wed Dec 18 17:55:59 GMT 2024","Wed Dec 18 17:56:11 GMT 2024","11947","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Wed Dec 18 18:08:19 GMT 2024","Wed Dec 18 18:08:32 GMT 2024","13048","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency","To verify, the General info tab contents General info, Password, Two-factor authentication (2FA), Currency and the General info section contains USER EMAIL and the Delete account button"
"passed","Wed Dec 18 18:16:55 GMT 2024","Wed Dec 18 18:17:06 GMT 2024","10764","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 18:16:37 GMT 2024","Wed Dec 18 18:16:45 GMT 2024","7814","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 18:20:48 GMT 2024","Wed Dec 18 18:20:57 GMT 2024","8525","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 18:16:01 GMT 2024","Wed Dec 18 18:16:13 GMT 2024","12197","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"failed","Wed Dec 18 18:12:23 GMT 2024","Wed Dec 18 18:12:35 GMT 2024","11617","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"passed","Wed Dec 18 18:19:54 GMT 2024","Wed Dec 18 18:20:03 GMT 2024","8863","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 17:50:56 GMT 2024","Wed Dec 18 17:51:10 GMT 2024","13782","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Dec 18 18:03:48 GMT 2024","Wed Dec 18 18:03:58 GMT 2024","9642","webkit","","Blog","","","TC_06_01 | Verify Blog search functionality with random characters","To verify that ""No results for... "" message appears after search with random characters."
"passed","Wed Dec 18 18:01:59 GMT 2024","Wed Dec 18 18:02:11 GMT 2024","11475","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
"passed","Wed Dec 18 17:56:11 GMT 2024","Wed Dec 18 17:56:24 GMT 2024","12949","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Wed Dec 18 17:51:28 GMT 2024","Wed Dec 18 17:51:32 GMT 2024","4828","webkit","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Wed Dec 18 18:17:56 GMT 2024","Wed Dec 18 18:18:04 GMT 2024","8255","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 18:07:50 GMT 2024","Wed Dec 18 18:08:06 GMT 2024","16408","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Dec 18 18:21:17 GMT 2024","Wed Dec 18 18:21:34 GMT 2024","17530","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 18:19:02 GMT 2024","Wed Dec 18 18:19:14 GMT 2024","11847","webkit","","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 17:54:14 GMT 2024","Wed Dec 18 17:54:26 GMT 2024","12509","webkit","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Wed Dec 18 18:20:22 GMT 2024","Wed Dec 18 18:20:31 GMT 2024","8750","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 18:16:13 GMT 2024","Wed Dec 18 18:16:25 GMT 2024","11544","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 18:14:20 GMT 2024","Wed Dec 18 18:14:29 GMT 2024","8077","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
