"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 06:50:10 GMT 2024","Wed Oct 30 06:50:12 GMT 2024","2578","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Oct 30 06:49:31 GMT 2024","Wed Oct 30 06:49:33 GMT 2024","2367","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"skipped","Wed Oct 30 06:49:54 GMT 2024","Wed Oct 30 06:49:54 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Oct 30 06:50:04 GMT 2024","Wed Oct 30 06:50:07 GMT 2024","2840","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Oct 30 06:49:44 GMT 2024","Wed Oct 30 06:49:50 GMT 2024","5709","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Oct 30 06:50:17 GMT 2024","Wed Oct 30 06:50:20 GMT 2024","2435","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Oct 30 06:49:40 GMT 2024","Wed Oct 30 06:49:44 GMT 2024","4351","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"skipped","Wed Oct 30 06:49:44 GMT 2024","Wed Oct 30 06:49:44 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Wed Oct 30 06:50:07 GMT 2024","Wed Oct 30 06:50:10 GMT 2024","2994","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Oct 30 06:49:35 GMT 2024","Wed Oct 30 06:49:40 GMT 2024","4256","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Oct 30 06:49:54 GMT 2024","Wed Oct 30 06:49:59 GMT 2024","4654","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Oct 30 06:50:12 GMT 2024","Wed Oct 30 06:50:15 GMT 2024","2475","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Oct 30 06:49:24 GMT 2024","Wed Oct 30 06:49:27 GMT 2024","3611","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Oct 30 06:49:28 GMT 2024","Wed Oct 30 06:49:31 GMT 2024","2426","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 06:49:33 GMT 2024","Wed Oct 30 06:49:35 GMT 2024","2166","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 06:49:59 GMT 2024","Wed Oct 30 06:50:01 GMT 2024","2612","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"skipped","Wed Oct 30 06:49:44 GMT 2024","Wed Oct 30 06:49:44 GMT 2024","1","chromium","","DNS Records","","","TC_04_02 | Verify search by hosted zone name.",""
"passed","Wed Oct 30 06:50:15 GMT 2024","Wed Oct 30 06:50:17 GMT 2024","2472","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Oct 30 06:49:50 GMT 2024","Wed Oct 30 06:49:54 GMT 2024","4379","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Oct 30 06:50:01 GMT 2024","Wed Oct 30 06:50:04 GMT 2024","2347","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
