"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 21:04:22 GMT 2024","Wed Nov 13 21:04:24 GMT 2024","2218","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Wed Nov 13 21:01:06 GMT 2024","Wed Nov 13 21:01:06 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields",""
"passed","Wed Nov 13 21:01:06 GMT 2024","Wed Nov 13 21:01:11 GMT 2024","4765","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:46 GMT 2024","12595","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Wed Nov 13 21:01:42 GMT 2024","Wed Nov 13 21:01:47 GMT 2024","4320","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:03:20 GMT 2024","Wed Nov 13 21:03:26 GMT 2024","6247","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Wed Nov 13 21:04:20 GMT 2024","Wed Nov 13 21:04:22 GMT 2024","2307","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Nov 13 21:04:27 GMT 2024","Wed Nov 13 21:04:29 GMT 2024","2440","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Nov 13 21:01:58 GMT 2024","Wed Nov 13 21:02:04 GMT 2024","5373","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
