"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 13:33:38 GMT 2024","Sat Oct 26 13:33:43 GMT 2024","4632","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Sat Oct 26 13:33:34 GMT 2024","Sat Oct 26 13:33:38 GMT 2024","4215","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Sat Oct 26 13:33:26 GMT 2024","Sat Oct 26 13:33:28 GMT 2024","2669","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Sat Oct 26 13:33:28 GMT 2024","Sat Oct 26 13:33:31 GMT 2024","2573","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Sat Oct 26 13:33:31 GMT 2024","Sat Oct 26 13:33:34 GMT 2024","2562","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"skipped","Sat Oct 26 13:33:43 GMT 2024","Sat Oct 26 13:33:43 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Sat Oct 26 13:33:22 GMT 2024","Sat Oct 26 13:33:26 GMT 2024","3250","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
