"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 03:16:41 GMT 2024","Sat Nov 23 03:16:45 GMT 2024","3185","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"skipped","Sat Nov 23 03:22:27 GMT 2024","Sat Nov 23 03:22:27 GMT 2024","0","chromium","04Domains.spec.js","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone",""
"failed","Sat Nov 23 03:25:38 GMT 2024","Sat Nov 23 03:25:46 GMT 2024","7579","chromium","VisualTests.spec.js","Visual tests","","","TC_04_14 | Dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
"passed","Sat Nov 23 03:23:08 GMT 2024","Sat Nov 23 03:23:14 GMT 2024","6398","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Sat Nov 23 03:16:53 GMT 2024","Sat Nov 23 03:16:56 GMT 2024","2540","chromium","01Registration.spec.js","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Sat Nov 23 03:21:14 GMT 2024","Sat Nov 23 03:21:22 GMT 2024","7328","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 23 03:20:17 GMT 2024","Sat Nov 23 03:20:24 GMT 2024","6955","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Sat Nov 23 03:22:42 GMT 2024","Sat Nov 23 03:22:48 GMT 2024","6043","chromium","06Blog.spec.js","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"skipped","Sat Nov 23 03:23:35 GMT 2024","Sat Nov 23 03:23:35 GMT 2024","0","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Sat Nov 23 03:19:57 GMT 2024","Sat Nov 23 03:20:04 GMT 2024","6907","chromium","04Domains.spec.js","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Sat Nov 23 03:21:57 GMT 2024","Sat Nov 23 03:22:06 GMT 2024","8696","chromium","04Domains.spec.js","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone","Delete DNS record in hosted zone"
"passed","Sat Nov 23 03:18:45 GMT 2024","Sat Nov 23 03:18:49 GMT 2024","4345","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Sat Nov 23 03:24:32 GMT 2024","Sat Nov 23 03:24:34 GMT 2024","2550","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"skipped","Sat Nov 23 03:24:53 GMT 2024","Sat Nov 23 03:24:53 GMT 2024","0","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)",""
"passed","Sat Nov 23 03:24:42 GMT 2024","Sat Nov 23 03:24:45 GMT 2024","2593","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Sat Nov 23 03:24:50 GMT 2024","Sat Nov 23 03:24:53 GMT 2024","3285","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Sat Nov 23 03:23:30 GMT 2024","Sat Nov 23 03:23:35 GMT 2024","5066","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Sat Nov 23 03:19:04 GMT 2024","Sat Nov 23 03:19:08 GMT 2024","4505","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Sat Nov 23 03:22:13 GMT 2024","Sat Nov 23 03:22:26 GMT 2024","13099","chromium","04Domains.spec.js","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"failed","Sat Nov 23 03:25:31 GMT 2024","Sat Nov 23 03:25:38 GMT 2024","7025","chromium","VisualTests.spec.js","Visual tests","","","TC_04_13 | Dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"passed","Sat Nov 23 03:20:59 GMT 2024","Sat Nov 23 03:21:07 GMT 2024","7519","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 23 03:21:29 GMT 2024","Sat Nov 23 03:21:36 GMT 2024","6702","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
