"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:37:33 GMT 2024","Fri Dec 13 19:37:33 GMT 2024","309","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page",""
"failed","Fri Dec 13 19:38:17 GMT 2024","Fri Dec 13 19:38:17 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality",""
"failed","Fri Dec 13 19:34:34 GMT 2024","Fri Dec 13 19:34:34 GMT 2024","311","webkit","","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy",""
"failed","Fri Dec 13 19:39:56 GMT 2024","Fri Dec 13 19:39:57 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:35:18 GMT 2024","Fri Dec 13 19:35:18 GMT 2024","324","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS",""
"failed","Fri Dec 13 19:35:25 GMT 2024","Fri Dec 13 19:35:25 GMT 2024","300","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields",""
"failed","Fri Dec 13 19:35:32 GMT 2024","Fri Dec 13 19:35:32 GMT 2024","308","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields",""
"failed","Fri Dec 13 19:42:53 GMT 2024","Fri Dec 13 19:42:54 GMT 2024","299","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints",""
"failed","Fri Dec 13 19:42:05 GMT 2024","Fri Dec 13 19:42:05 GMT 2024","290","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"failed","Fri Dec 13 19:39:02 GMT 2024","Fri Dec 13 19:39:02 GMT 2024","296","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page",""
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","1","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"failed","Fri Dec 13 19:36:16 GMT 2024","Fri Dec 13 19:36:17 GMT 2024","297","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors",""
"failed","Fri Dec 13 19:36:47 GMT 2024","Fri Dec 13 19:36:47 GMT 2024","297","webkit","","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles",""
