"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:52:51 GMT 2024","Fri Dec 13 19:52:51 GMT 2024","326","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields",""
"failed","Fri Dec 13 20:00:52 GMT 2024","Fri Dec 13 20:00:52 GMT 2024","316","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants",""
"failed","Fri Dec 13 19:54:51 GMT 2024","Fri Dec 13 19:54:51 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page",""
"failed","Fri Dec 13 19:53:29 GMT 2024","Fri Dec 13 19:53:30 GMT 2024","308","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors",""
"failed","Fri Dec 13 19:54:07 GMT 2024","Fri Dec 13 19:54:07 GMT 2024","302","webkit","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"failed","Fri Dec 13 19:53:02 GMT 2024","Fri Dec 13 19:53:02 GMT 2024","327","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"failed","Fri Dec 13 19:54:41 GMT 2024","Fri Dec 13 19:54:42 GMT 2024","331","webkit","","My profile. Section 2FA","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)",""
"failed","Fri Dec 13 19:56:15 GMT 2024","Fri Dec 13 19:56:15 GMT 2024","308","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page",""
"failed","Fri Dec 13 19:54:00 GMT 2024","Fri Dec 13 19:54:00 GMT 2024","302","webkit","","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles",""
"failed","Fri Dec 13 19:53:50 GMT 2024","Fri Dec 13 19:53:50 GMT 2024","299","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query",""
"skipped","Fri Dec 13 19:55:21 GMT 2024","Fri Dec 13 19:55:21 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)",""
"failed","Fri Dec 13 19:59:10 GMT 2024","Fri Dec 13 19:59:10 GMT 2024","298","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type",""
"failed","Fri Dec 13 19:51:32 GMT 2024","Fri Dec 13 19:51:32 GMT 2024","299","webkit","","Registration","","","TC_01_01_01 | Verify Registration form elements",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"failed","Fri Dec 13 20:00:23 GMT 2024","Fri Dec 13 20:00:23 GMT 2024","286","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"failed","Fri Dec 13 19:52:10 GMT 2024","Fri Dec 13 19:52:11 GMT 2024","305","webkit","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"failed","Fri Dec 13 19:52:24 GMT 2024","Fri Dec 13 19:52:24 GMT 2024","321","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"failed","Fri Dec 13 19:51:50 GMT 2024","Fri Dec 13 19:51:50 GMT 2024","293","webkit","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.",""
"failed","Fri Dec 13 19:57:57 GMT 2024","Fri Dec 13 19:57:57 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 20:00:57 GMT 2024","Fri Dec 13 20:00:57 GMT 2024","308","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer",""
"failed","Fri Dec 13 20:00:47 GMT 2024","Fri Dec 13 20:00:48 GMT 2024","303","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena",""
"failed","Fri Dec 13 19:52:07 GMT 2024","Fri Dec 13 19:52:07 GMT 2024","307","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.",""
"failed","Fri Dec 13 19:59:24 GMT 2024","Fri Dec 13 19:59:25 GMT 2024","286","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type",""
"failed","Fri Dec 13 19:51:42 GMT 2024","Fri Dec 13 19:51:42 GMT 2024","295","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements",""
