"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:52 GMT 2024","5939","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Wed Nov 13 17:15:32 GMT 2024","Wed Nov 13 17:15:37 GMT 2024","4765","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Wed Nov 13 17:14:27 GMT 2024","Wed Nov 13 17:14:32 GMT 2024","4929","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields",""
"passed","Wed Nov 13 17:18:23 GMT 2024","Wed Nov 13 17:18:25 GMT 2024","2716","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Nov 13 17:17:44 GMT 2024","Wed Nov 13 17:17:49 GMT 2024","4450","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Wed Nov 13 17:17:40 GMT 2024","Wed Nov 13 17:17:44 GMT 2024","4608","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Nov 13 17:14:16 GMT 2024","Wed Nov 13 17:14:19 GMT 2024","2680","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"passed","Wed Nov 13 17:14:08 GMT 2024","Wed Nov 13 17:14:11 GMT 2024","2969","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 17:18:31 GMT 2024","Wed Nov 13 17:18:33 GMT 2024","2797","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Nov 13 17:16:52 GMT 2024","Wed Nov 13 17:16:57 GMT 2024","4874","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Wed Nov 13 17:15:14 GMT 2024","Wed Nov 13 17:15:19 GMT 2024","4630","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Wed Nov 13 17:14:13 GMT 2024","Wed Nov 13 17:14:16 GMT 2024","2589","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 17:17:28 GMT 2024","Wed Nov 13 17:17:34 GMT 2024","5725","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"skipped","Wed Nov 13 17:14:27 GMT 2024","Wed Nov 13 17:14:27 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","1","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS",""
"passed","Wed Nov 13 17:18:28 GMT 2024","Wed Nov 13 17:18:31 GMT 2024","2386","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Nov 13 17:15:09 GMT 2024","Wed Nov 13 17:15:14 GMT 2024","5075","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields",""
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"skipped","Wed Nov 13 17:15:24 GMT 2024","Wed Nov 13 17:15:24 GMT 2024","0","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"passed","Wed Nov 13 17:15:59 GMT 2024","Wed Nov 13 17:16:05 GMT 2024","5318","chromium","","Domains > Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone",""
"passed","Wed Nov 13 17:16:35 GMT 2024","Wed Nov 13 17:16:41 GMT 2024","5688","chromium","","Domains > DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Wed Nov 13 17:16:05 GMT 2024","Wed Nov 13 17:16:12 GMT 2024","7234","chromium","","Domains > Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","1","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields",""
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
