"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 18:13:30 GMT 2024","Tue Nov 05 18:13:34 GMT 2024","3974","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:15:00 GMT 2024","Tue Nov 05 18:15:12 GMT 2024","12524","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Nov 05 18:15:22 GMT 2024","Tue Nov 05 18:15:29 GMT 2024","6634","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Tue Nov 05 18:15:56 GMT 2024","Tue Nov 05 18:15:59 GMT 2024","2340","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 05 18:16:09 GMT 2024","Tue Nov 05 18:16:11 GMT 2024","2406","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 18:12:31 GMT 2024","Tue Nov 05 18:12:35 GMT 2024","4540","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Tue Nov 05 18:16:04 GMT 2024","Tue Nov 05 18:16:06 GMT 2024","2730","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 05 18:12:22 GMT 2024","Tue Nov 05 18:12:24 GMT 2024","2612","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 18:16:01 GMT 2024","Tue Nov 05 18:16:04 GMT 2024","2605","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 18:16:21 GMT 2024","Tue Nov 05 18:16:25 GMT 2024","4127","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Nov 05 18:12:27 GMT 2024","Tue Nov 05 18:12:31 GMT 2024","4176","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Nov 05 18:16:14 GMT 2024","Tue Nov 05 18:16:17 GMT 2024","2659","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 18:13:19 GMT 2024","Tue Nov 05 18:13:24 GMT 2024","4501","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:14:50 GMT 2024","Tue Nov 05 18:14:54 GMT 2024","4624","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 18:12:24 GMT 2024","Tue Nov 05 18:12:27 GMT 2024","2164","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 18:13:39 GMT 2024","Tue Nov 05 18:13:45 GMT 2024","6002","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
