"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 00:14:00 GMT 2024","Sun Dec 15 00:14:12 GMT 2024","12121","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sat Dec 14 23:13:29 GMT 2024","Sat Dec 14 23:13:40 GMT 2024","11279","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"passed","Sun Dec 15 00:14:12 GMT 2024","Sun Dec 15 00:14:27 GMT 2024","15298","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sat Dec 14 23:04:21 GMT 2024","Sat Dec 14 23:04:33 GMT 2024","12310","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Sat Dec 14 23:27:30 GMT 2024","Sat Dec 14 23:27:42 GMT 2024","11729","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 00:13:33 GMT 2024","Sun Dec 15 00:13:46 GMT 2024","13283","webkit","","Report Abuse submission for each type of report","","","TC_09_07_07| Verify unauthorized user can submit the ""Report Abuse"" form for Pharmacy Complaint","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Sat Dec 14 23:04:33 GMT 2024","Sat Dec 14 23:04:47 GMT 2024","13270","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"skipped","Sat Dec 14 23:20:09 GMT 2024","Sat Dec 14 23:20:09 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu",""
"passed","Sat Dec 14 22:57:01 GMT 2024","Sat Dec 14 22:57:18 GMT 2024","16501","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Sat Dec 14 23:26:38 GMT 2024","Sat Dec 14 23:26:50 GMT 2024","11934","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sat Dec 14 23:27:13 GMT 2024","Sat Dec 14 23:27:22 GMT 2024","8086","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sat Dec 14 23:29:13 GMT 2024","Sat Dec 14 23:29:21 GMT 2024","7355","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sat Dec 14 23:22:08 GMT 2024","Sat Dec 14 23:22:14 GMT 2024","6445","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Sat Dec 14 23:20:24 GMT 2024","Sat Dec 14 23:20:38 GMT 2024","13988","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Sat Dec 14 23:25:02 GMT 2024","Sat Dec 14 23:25:11 GMT 2024","8089","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the Free subscription SSL Сertificates"
"passed","Sat Dec 14 23:29:44 GMT 2024","Sat Dec 14 23:29:52 GMT 2024","8596","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sat Dec 14 23:07:54 GMT 2024","Sat Dec 14 23:08:10 GMT 2024","15893","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Dec 14 23:24:54 GMT 2024","Sat Dec 14 23:25:02 GMT 2024","8589","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the My transfers button on Transfer Page"
