"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 18:20:02 GMT 2024","Tue Nov 05 18:20:05 GMT 2024","3097","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Nov 05 18:19:13 GMT 2024","Tue Nov 05 18:19:21 GMT 2024","7556","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 18:19:26 GMT 2024","Tue Nov 05 18:19:33 GMT 2024","7443","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"skipped","Tue Nov 05 18:19:26 GMT 2024","Tue Nov 05 18:19:26 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 05 18:16:27 GMT 2024","Tue Nov 05 18:16:32 GMT 2024","4983","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:17:16 GMT 2024","Tue Nov 05 18:17:23 GMT 2024","6722","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Tue Nov 05 18:15:53 GMT 2024","Tue Nov 05 18:15:59 GMT 2024","5839","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:16:10 GMT 2024","Tue Nov 05 18:16:16 GMT 2024","5653","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:18:27 GMT 2024","Tue Nov 05 18:18:32 GMT 2024","5260","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 18:15:59 GMT 2024","Tue Nov 05 18:16:05 GMT 2024","5768","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:15:29 GMT 2024","Tue Nov 05 18:15:37 GMT 2024","7693","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
