"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 00:28:00 GMT 2024","Tue Nov 12 00:28:07 GMT 2024","6687","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 12 00:30:03 GMT 2024","Tue Nov 12 00:30:11 GMT 2024","7537","chromium","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Tue Nov 12 00:32:46 GMT 2024","Tue Nov 12 00:32:49 GMT 2024","2392","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 12 00:32:32 GMT 2024","Tue Nov 12 00:32:36 GMT 2024","4362","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Nov 12 00:32:23 GMT 2024","Tue Nov 12 00:32:28 GMT 2024","4800","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Tue Nov 12 00:28:49 GMT 2024","Tue Nov 12 00:28:57 GMT 2024","7424","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Tue Nov 12 00:27:36 GMT 2024","Tue Nov 12 00:27:41 GMT 2024","4362","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Tue Nov 12 00:27:56 GMT 2024","Tue Nov 12 00:28:00 GMT 2024","4229","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 12 00:29:26 GMT 2024","Tue Nov 12 00:29:33 GMT 2024","7491","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Nov 12 00:26:50 GMT 2024","Tue Nov 12 00:26:55 GMT 2024","4912","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:26:26 GMT 2024","Tue Nov 12 00:26:30 GMT 2024","3305","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Tue Nov 12 00:32:06 GMT 2024","Tue Nov 12 00:32:11 GMT 2024","5428","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Tue Nov 12 00:26:35 GMT 2024","Tue Nov 12 00:26:38 GMT 2024","2638","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 12 00:26:45 GMT 2024","Tue Nov 12 00:26:50 GMT 2024","5626","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"failed","Tue Nov 12 00:31:14 GMT 2024","Tue Nov 12 00:31:24 GMT 2024","9722","chromium","","Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"passed","Tue Nov 12 00:27:31 GMT 2024","Tue Nov 12 00:27:36 GMT 2024","5211","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:31:51 GMT 2024","Tue Nov 12 00:32:01 GMT 2024","9723","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Tue Nov 12 00:27:15 GMT 2024","Tue Nov 12 00:27:20 GMT 2024","4658","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:27:10 GMT 2024","Tue Nov 12 00:27:15 GMT 2024","4797","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:28:42 GMT 2024","Tue Nov 12 00:28:49 GMT 2024","7239","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Tue Nov 12 00:27:20 GMT 2024","Tue Nov 12 00:27:24 GMT 2024","4259","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:29:48 GMT 2024","Tue Nov 12 00:29:55 GMT 2024","7377","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Nov 12 00:26:32 GMT 2024","Tue Nov 12 00:26:35 GMT 2024","2615","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 12 00:33:01 GMT 2024","Tue Nov 12 00:33:03 GMT 2024","2531","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 12 00:32:49 GMT 2024","Tue Nov 12 00:32:51 GMT 2024","2220","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Tue Nov 12 00:28:57 GMT 2024","Tue Nov 12 00:29:04 GMT 2024","7420","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Tue Nov 12 00:32:01 GMT 2024","Tue Nov 12 00:32:06 GMT 2024","5261","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Tue Nov 12 00:31:33 GMT 2024","Tue Nov 12 00:31:40 GMT 2024","6484","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Tue Nov 12 00:32:28 GMT 2024","Tue Nov 12 00:32:32 GMT 2024","4455","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Nov 12 00:32:41 GMT 2024","Tue Nov 12 00:32:46 GMT 2024","4704","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Tue Nov 12 00:29:11 GMT 2024","Tue Nov 12 00:29:19 GMT 2024","7196","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Nov 12 00:28:14 GMT 2024","Tue Nov 12 00:28:20 GMT 2024","6399","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Tue Nov 12 00:29:19 GMT 2024","Tue Nov 12 00:29:26 GMT 2024","7173","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Nov 12 00:33:12 GMT 2024","Tue Nov 12 00:33:15 GMT 2024","3113","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Nov 12 00:33:03 GMT 2024","Tue Nov 12 00:33:06 GMT 2024","2597","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 12 00:32:11 GMT 2024","Tue Nov 12 00:32:18 GMT 2024","6349","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Tue Nov 12 00:32:18 GMT 2024","Tue Nov 12 00:32:23 GMT 2024","4943","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Tue Nov 12 00:26:55 GMT 2024","Tue Nov 12 00:27:00 GMT 2024","4836","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:28:27 GMT 2024","Tue Nov 12 00:28:34 GMT 2024","7364","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Tue Nov 12 00:29:33 GMT 2024","Tue Nov 12 00:29:41 GMT 2024","7956","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Nov 12 00:27:05 GMT 2024","Tue Nov 12 00:27:10 GMT 2024","5109","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:27:50 GMT 2024","Tue Nov 12 00:27:56 GMT 2024","5633","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Nov 12 00:27:45 GMT 2024","Tue Nov 12 00:27:50 GMT 2024","5426","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Tue Nov 12 00:28:20 GMT 2024","Tue Nov 12 00:28:27 GMT 2024","7012","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Tue Nov 12 00:27:24 GMT 2024","Tue Nov 12 00:27:27 GMT 2024","3056","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:31:40 GMT 2024","Tue Nov 12 00:31:45 GMT 2024","4905","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 12 00:30:11 GMT 2024","Tue Nov 12 00:30:24 GMT 2024","13074","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Nov 12 00:29:04 GMT 2024","Tue Nov 12 00:29:11 GMT 2024","7306","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Nov 12 00:27:41 GMT 2024","Tue Nov 12 00:27:45 GMT 2024","4310","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Tue Nov 12 00:30:25 GMT 2024","Tue Nov 12 00:30:31 GMT 2024","6364","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Tue Nov 12 00:33:06 GMT 2024","Tue Nov 12 00:33:12 GMT 2024","6157","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 12 00:32:56 GMT 2024","Tue Nov 12 00:32:58 GMT 2024","2284","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 12 00:31:45 GMT 2024","Tue Nov 12 00:31:51 GMT 2024","6127","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Tue Nov 12 00:32:51 GMT 2024","Tue Nov 12 00:32:53 GMT 2024","2636","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"skipped","Tue Nov 12 00:32:11 GMT 2024","Tue Nov 12 00:32:11 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 12 00:27:00 GMT 2024","Tue Nov 12 00:27:05 GMT 2024","5023","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Tue Nov 12 00:32:53 GMT 2024","Tue Nov 12 00:32:56 GMT 2024","2615","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 12 00:32:58 GMT 2024","Tue Nov 12 00:33:01 GMT 2024","2433","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 12 00:32:36 GMT 2024","Tue Nov 12 00:32:41 GMT 2024","5039","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Tue Nov 12 00:26:30 GMT 2024","Tue Nov 12 00:26:32 GMT 2024","2475","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 12 00:31:25 GMT 2024","Tue Nov 12 00:31:33 GMT 2024","7971","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
