"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","48","0","2","0"
"Unauthorized_user","","","0","14","52","0","0"
"Authorization","","","0","1","1","0","0"
"Domains","","","0","5","0","0","0"
"Help center","","","0","7","0","0","0"
"Blog","","","0","5","0","0","0"
"My profile","Account settings","","0","8","0","0","0"
"My profile","Billing","","0","2","0","0","0"
"My profile","Currency","","0","2","0","0","0"
"Registration","","","1","1","6","0","0"
"My profile","Log out","","1","0","0","0","0"
"My profile","","","0","1","0","0","0"
