"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 03:18:30 GMT 2024","Tue Dec 17 03:18:45 GMT 2024","15647","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:09:02 GMT 2024","Tue Dec 17 03:10:22 GMT 2024","79838","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements","Verify redirection to ""Check your email"" form and its elements"
"passed","Tue Dec 17 03:28:54 GMT 2024","Tue Dec 17 03:29:03 GMT 2024","9172","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"passed","Tue Dec 17 03:11:32 GMT 2024","Tue Dec 17 03:11:46 GMT 2024","13424","webkit","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Tue Dec 17 03:12:56 GMT 2024","Tue Dec 17 03:13:09 GMT 2024","12220","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Tue Dec 17 04:00:09 GMT 2024","Tue Dec 17 04:00:22 GMT 2024","12794","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:13:33 GMT 2024","Tue Dec 17 03:13:44 GMT 2024","11423","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Tue Dec 17 03:50:25 GMT 2024","Tue Dec 17 03:50:40 GMT 2024","15026","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:36:20 GMT 2024","Tue Dec 17 03:36:28 GMT 2024","8548","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:35:15 GMT 2024","Tue Dec 17 03:35:26 GMT 2024","10857","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:15:11 GMT 2024","Tue Dec 17 03:15:27 GMT 2024","16124","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Tue Dec 17 03:25:09 GMT 2024","Tue Dec 17 03:25:23 GMT 2024","14624","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Tue Dec 17 03:15:42 GMT 2024","Tue Dec 17 03:15:57 GMT 2024","14071","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Tue Dec 17 03:32:12 GMT 2024","Tue Dec 17 03:32:21 GMT 2024","9035","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the Free subscription SSL Сertificates"
"passed","Tue Dec 17 03:34:37 GMT 2024","Tue Dec 17 03:34:45 GMT 2024","7648","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:23:17 GMT 2024","Tue Dec 17 03:23:47 GMT 2024","30138","webkit","","Help Center","","","TC_07_02_02 | Verify the user can navigate through the articles","Verify the user can navigate through the articles"
"passed","Tue Dec 17 04:03:43 GMT 2024","Tue Dec 17 04:04:00 GMT 2024","16276","webkit","","Report Abuse submission for each type of report","","","TC_09_07_08| Verify unauthorized user can submit the ""Report Abuse"" form for CSAM (Child Abuse)","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 04:01:57 GMT 2024","Tue Dec 17 04:02:15 GMT 2024","17766","webkit","","Report Abuse submission for each type of report","","","TC_09_07_01| Verify unauthorized user can submit the ""Report Abuse"" form for DMCA, Copyright & Trademark Complaints","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"skipped","Tue Dec 17 03:11:04 GMT 2024","Tue Dec 17 03:11:04 GMT 2024","1","webkit","","Delete Account","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Tue Dec 17 03:28:15 GMT 2024","Tue Dec 17 03:28:21 GMT 2024","6622","webkit","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Dec 17 03:42:15 GMT 2024","Tue Dec 17 03:42:32 GMT 2024","16428","webkit","","Contact Us","","","TC_09_06_02 | Verify unauthorized users can submit the ""Contact Us"" form for ""Payment, Sales & Billing Issues"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:36:08 GMT 2024","Tue Dec 17 03:36:20 GMT 2024","11138","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:10:54 GMT 2024","Tue Dec 17 03:11:04 GMT 2024","9787","webkit","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Tue Dec 17 03:18:15 GMT 2024","Tue Dec 17 03:18:30 GMT 2024","15264","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:14:19 GMT 2024","Tue Dec 17 03:14:33 GMT 2024","14565","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"broken","Tue Dec 17 03:54:59 GMT 2024","Tue Dec 17 03:55:59 GMT 2024","60534","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:16:43 GMT 2024","Tue Dec 17 03:16:57 GMT 2024","14146","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Dec 17 03:21:02 GMT 2024","Tue Dec 17 03:21:13 GMT 2024","10568","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Dec 17 04:02:59 GMT 2024","Tue Dec 17 04:03:14 GMT 2024","15859","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 03:20:11 GMT 2024","Tue Dec 17 03:20:22 GMT 2024","11285","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"passed","Tue Dec 17 03:08:35 GMT 2024","Tue Dec 17 03:08:40 GMT 2024","5482","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Dec 17 03:37:29 GMT 2024","Tue Dec 17 03:38:07 GMT 2024","37436","webkit","","Reset Password","","","TC_09_05_03 | Verify password recovery process","To verify that user can reset the password."
"passed","Tue Dec 17 03:16:13 GMT 2024","Tue Dec 17 03:16:27 GMT 2024","14584","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Tue Dec 17 03:17:12 GMT 2024","Tue Dec 17 03:17:28 GMT 2024","16434","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:31:56 GMT 2024","Tue Dec 17 03:32:04 GMT 2024","7572","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the Bulk transfer button on Transfer Page"
"passed","Tue Dec 17 03:27:38 GMT 2024","Tue Dec 17 03:27:45 GMT 2024","6175","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Dec 17 03:32:04 GMT 2024","Tue Dec 17 03:32:12 GMT 2024","8024","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the My transfers button on Transfer Page"
"passed","Tue Dec 17 03:34:56 GMT 2024","Tue Dec 17 03:35:03 GMT 2024","6924","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""m"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:14:33 GMT 2024","Tue Dec 17 03:14:47 GMT 2024","13719","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"passed","Tue Dec 17 03:33:41 GMT 2024","Tue Dec 17 03:33:53 GMT 2024","12086","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:32:49 GMT 2024","Tue Dec 17 03:32:57 GMT 2024","8503","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 04:02:30 GMT 2024","Tue Dec 17 04:02:45 GMT 2024","14892","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"broken","Tue Dec 17 03:40:12 GMT 2024","Tue Dec 17 03:41:12 GMT 2024","60457","webkit","","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:24:13 GMT 2024","Tue Dec 17 03:24:25 GMT 2024","12155","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Tue Dec 17 03:25:23 GMT 2024","Tue Dec 17 03:25:37 GMT 2024","13360","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Tue Dec 17 03:24:01 GMT 2024","Tue Dec 17 03:24:13 GMT 2024","12467","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Tue Dec 17 03:27:45 GMT 2024","Tue Dec 17 03:27:51 GMT 2024","6405","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Dec 17 03:21:13 GMT 2024","Tue Dec 17 03:21:25 GMT 2024","12376","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Help center search, as well as previous search history when the search field is empty."
"passed","Tue Dec 17 03:16:57 GMT 2024","Tue Dec 17 03:17:12 GMT 2024","14602","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:36:59 GMT 2024","Tue Dec 17 03:37:06 GMT 2024","7341","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:18:00 GMT 2024","Tue Dec 17 03:18:15 GMT 2024","14522","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:26:45 GMT 2024","Tue Dec 17 03:26:57 GMT 2024","11946","webkit","","My profile. Section 2FA","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
