"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 14:22:51 GMT 2024","Fri Nov 08 14:22:58 GMT 2024","7036","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:20:57 GMT 2024","Fri Nov 08 14:21:02 GMT 2024","4873","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:24:57 GMT 2024","Fri Nov 08 14:25:01 GMT 2024","4934","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Fri Nov 08 14:21:16 GMT 2024","Fri Nov 08 14:21:20 GMT 2024","4225","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:24:14 GMT 2024","Fri Nov 08 14:24:21 GMT 2024","6517","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Fri Nov 08 14:23:48 GMT 2024","Fri Nov 08 14:23:54 GMT 2024","6826","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:20:48 GMT 2024","Fri Nov 08 14:20:53 GMT 2024","4297","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Fri Nov 08 14:23:27 GMT 2024","Fri Nov 08 14:23:35 GMT 2024","7120","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 08 14:22:45 GMT 2024","Fri Nov 08 14:22:51 GMT 2024","6513","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Fri Nov 08 14:21:02 GMT 2024","Fri Nov 08 14:21:07 GMT 2024","4722","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Fri Nov 08 14:20:42 GMT 2024","Fri Nov 08 14:20:44 GMT 2024","2570","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
