"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 15:14:37 GMT 2024","Sat Nov 09 15:14:44 GMT 2024","7154","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Sat Nov 09 15:15:47 GMT 2024","Sat Nov 09 15:15:55 GMT 2024","7473","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 09 15:13:55 GMT 2024","Sat Nov 09 15:14:00 GMT 2024","4776","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Sat Nov 09 15:13:19 GMT 2024","Sat Nov 09 15:13:24 GMT 2024","5578","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Sat Nov 09 15:12:52 GMT 2024","Sat Nov 09 15:12:57 GMT 2024","4744","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Sat Nov 09 15:16:48 GMT 2024","Sat Nov 09 15:16:56 GMT 2024","7932","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Sat Nov 09 15:15:55 GMT 2024","Sat Nov 09 15:16:03 GMT 2024","7941","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 09 15:15:23 GMT 2024","Sat Nov 09 15:15:31 GMT 2024","8024","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Sat Nov 09 15:14:51 GMT 2024","Sat Nov 09 15:14:59 GMT 2024","7925","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"skipped","Sat Nov 09 15:17:37 GMT 2024","Sat Nov 09 15:17:37 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
