"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 05:32:17 GMT 2024","Wed Nov 06 05:32:22 GMT 2024","4869","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Wed Nov 06 05:28:53 GMT 2024","Wed Nov 06 05:28:58 GMT 2024","5511","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Wed Nov 06 05:30:10 GMT 2024","Wed Nov 06 05:30:18 GMT 2024","7724","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Wed Nov 06 05:28:15 GMT 2024","Wed Nov 06 05:28:22 GMT 2024","6624","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:31:53 GMT 2024","Wed Nov 06 05:32:01 GMT 2024","8129","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Wed Nov 06 05:32:29 GMT 2024","Wed Nov 06 05:32:34 GMT 2024","4751","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Nov 06 05:28:10 GMT 2024","Wed Nov 06 05:28:15 GMT 2024","4769","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:32:43 GMT 2024","Wed Nov 06 05:32:46 GMT 2024","2901","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Nov 06 05:29:18 GMT 2024","Wed Nov 06 05:29:25 GMT 2024","6592","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Wed Nov 06 05:31:15 GMT 2024","Wed Nov 06 05:31:23 GMT 2024","8305","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 06 05:32:10 GMT 2024","Wed Nov 06 05:32:17 GMT 2024","6646","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Wed Nov 06 05:32:34 GMT 2024","Wed Nov 06 05:32:38 GMT 2024","4732","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Wed Nov 06 05:32:46 GMT 2024","Wed Nov 06 05:32:49 GMT 2024","2965","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
