"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 00:55:27 GMT 2024","Mon Nov 04 00:55:33 GMT 2024","6318","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:55:33 GMT 2024","Mon Nov 04 00:55:39 GMT 2024","6198","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:57:17 GMT 2024","Mon Nov 04 00:57:20 GMT 2024","2372","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Mon Nov 04 00:56:00 GMT 2024","Mon Nov 04 00:56:06 GMT 2024","6881","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:55:20 GMT 2024","Mon Nov 04 00:55:27 GMT 2024","6296","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Mon Nov 04 00:57:03 GMT 2024","Mon Nov 04 00:57:05 GMT 2024","2202","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Mon Nov 04 00:56:38 GMT 2024","Mon Nov 04 00:56:45 GMT 2024","6591","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Mon Nov 04 00:55:11 GMT 2024","Mon Nov 04 00:55:16 GMT 2024","4288","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Mon Nov 04 00:57:00 GMT 2024","Mon Nov 04 00:57:02 GMT 2024","2365","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"skipped","Mon Nov 04 00:55:20 GMT 2024","Mon Nov 04 00:55:20 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Mon Nov 04 00:54:54 GMT 2024","Mon Nov 04 00:55:02 GMT 2024","7781","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Nov 04 00:55:46 GMT 2024","Mon Nov 04 00:55:53 GMT 2024","6956","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:55:39 GMT 2024","Mon Nov 04 00:55:46 GMT 2024","6555","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:56:13 GMT 2024","Mon Nov 04 00:56:19 GMT 2024","6305","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Mon Nov 04 00:57:13 GMT 2024","Mon Nov 04 00:57:15 GMT 2024","2257","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Mon Nov 04 00:57:15 GMT 2024","Mon Nov 04 00:57:17 GMT 2024","2408","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Mon Nov 04 00:55:53 GMT 2024","Mon Nov 04 00:56:00 GMT 2024","6833","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:56:45 GMT 2024","Mon Nov 04 00:56:50 GMT 2024","4300","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Mon Nov 04 00:57:20 GMT 2024","Mon Nov 04 00:57:25 GMT 2024","5064","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Mon Nov 04 00:57:10 GMT 2024","Mon Nov 04 00:57:13 GMT 2024","2533","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Mon Nov 04 00:55:09 GMT 2024","Mon Nov 04 00:55:11 GMT 2024","2559","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 04 00:57:08 GMT 2024","Mon Nov 04 00:57:10 GMT 2024","2553","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Mon Nov 04 00:56:50 GMT 2024","Mon Nov 04 00:56:56 GMT 2024","5845","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Mon Nov 04 00:55:04 GMT 2024","Mon Nov 04 00:55:06 GMT 2024","2720","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 04 00:56:56 GMT 2024","Mon Nov 04 00:57:00 GMT 2024","4579","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Mon Nov 04 00:55:16 GMT 2024","Mon Nov 04 00:55:20 GMT 2024","4550","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Mon Nov 04 00:56:25 GMT 2024","Mon Nov 04 00:56:37 GMT 2024","12484","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
