"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 13:57:10 GMT 2024","Fri Oct 25 13:57:15 GMT 2024","5164","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Oct 25 13:57:06 GMT 2024","Fri Oct 25 13:57:09 GMT 2024","3439","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"skipped","Fri Oct 25 13:57:21 GMT 2024","Fri Oct 25 13:57:21 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Fri Oct 25 13:57:15 GMT 2024","Fri Oct 25 13:57:21 GMT 2024","5919","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
