"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 19:17:39 GMT 2024","Thu Nov 14 19:17:43 GMT 2024","4474","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Thu Nov 14 19:21:09 GMT 2024","Thu Nov 14 19:21:16 GMT 2024","7006","chromium","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Thu Nov 14 19:18:37 GMT 2024","Thu Nov 14 19:18:41 GMT 2024","4374","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Thu Nov 14 19:20:33 GMT 2024","Thu Nov 14 19:20:40 GMT 2024","7108","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 19:18:46 GMT 2024","Thu Nov 14 19:18:50 GMT 2024","4152","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 14 19:19:57 GMT 2024","Thu Nov 14 19:20:04 GMT 2024","6920","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"failed","Thu Nov 14 19:18:06 GMT 2024","Thu Nov 14 19:18:15 GMT 2024","9107","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Thu Nov 14 19:22:32 GMT 2024","Thu Nov 14 19:22:37 GMT 2024","5296","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Thu Nov 14 19:20:40 GMT 2024","Thu Nov 14 19:20:47 GMT 2024","7018","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 19:19:07 GMT 2024","Thu Nov 14 19:19:11 GMT 2024","4442","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
